# TESS Program G03252

Title: TESS High-Frequency A-F Pulsators: Understanding The Driving Of Oscillations In Intermediate-Mass Stars

PI: Hambleton, Kelly - Villanova University

Type: LARGE

Summary: Delta Scuti and roAp stars are classes of pulsators sharing the same region of the HR diagram. For decades their pulsations were thought to have different origins, but data from TESS revealed an apparent overlap in their pulsation properties questioning our understanding of the excitation mechanisms at work. We propose to: 1) characterize the statistical distributions of the scaled pulsation frequencies in these pulsators, including the determination of the so far unknown high-frequency end of the roAp star phenomena and; 2) establish whether hybrid delta Scuti-roAp stars exist. These results, which will be key to advance our understanding of the origin of the pulsation in this region of the HR diagram, can now be achieved thanks to the survey-nature of TESS and its 20-sec cadence mode.


# Sector 027 targets observed (2 min: 288, 20 s: 26)
149933253,89.9134,-65.4468,9.05,G03252
150101501,92.0443,-63.3077,9.5,G03255;G03252
219410829,78.8701,-53.6384,10.17,G03255;G03252
260078159,91.9914,-55.3983,11.01,G03252
260161111,92.8439,-58.3568,10.62,G03255;G03252
260353074,94.836,-54.8656,8.97,G03252
260416268,95.7322,-56.3701,5.41,G03252
260540380,97.0324,-54.9877,9.73,G03252
290714928,84.1881,-52.7873,8.72,G03252
350431472,84.906,-57.1815,9.6,G03255;G03252
350563225,86.7776,-55.5672,9.08,G03252
350563998,86.9556,-53.8925,10.6,G03252
350709413,88.1187,-56.2007,8.58,G03252
350954375,90.9497,-55.2943,10.65,G03252
358402382,78.1774,-55.5994,9.94,G03252
374858533,88.3114,-61.8394,6.76,G03252
382044998,79.4256,-57.1154,10.64,G03252
382258769,82.5664,-54.6857,10.66,G03252
55271188,76.2756,-60.1366,10.05,G03252

# Sector 028 targets observed (2 min: 191, 20 s: 17)
197614651,327.871,-40.0448,9.23,G03252
197686479,329.259,-37.7468,5.86,G03255;G03252
197759259,331.5552,-41.3105,8.68,G03252
278538636,332.9908,-41.1132,10.87,G03252
71334169,331.0803,-42.7248,8.51,G03251;G03252
92734713,316.7702,-35.8698,8.32,G03255;G03252
152864226,345.2542,-37.3591,7.83,G03251;G03252
152876062,337.1646,-40.7009,10.03,G03255;G03252
206605688,341.3268,-33.3596,8.3,G03252
206626993,342.3684,-34.9844,7.89,G03252;20SECONDTARGET
206660904,343.045,-34.6342,7.64,G03252
209362175,338.3899,-29.6649,7.18,G03255;G03252
229059574,332.1778,-33.1256,6.15,G03255;G03252
253917376,337.5533,-30.439,8.08,G03255;G03252
278611926,333.3502,-37.4842,7.51,G03252
188645059,336.1413,-23.3675,7.59,G03252;20SECONDTARGET
209301512,336.5466,-24.4406,8.89,G03252
32176627,331.9345,-28.1476,6.87,G03251;G03252
326358132,325.7699,-21.6795,10.86,G03255;G03252
69855370,338.3014,-20.0393,9.19,G03223;G03252;20SECONDTARGET
211379298,320.8894,-31.5317,9.47,G03252
211404370,321.5163,-29.9303,8.56,G03252;20SECONDTARGET
300908057,321.5719,-27.1703,8.66,G03252;20SECONDTARGET
441110063,324.0464,-26.1717,5.54,G03252
99839685,323.1628,-21.7765,8.46,G03251;G03252
219122151,340.5292,-56.0259,11.19,G03252
232064019,340.404,-60.7163,9.03,G03252
234288007,336.1322,-63.6682,9.27,G03252
237336864,347.3663,-63.6536,9.24,G03255;G03223;G03252;20SECONDTARGET
238814402,327.3343,-60.3322,9.0,G03252
277682809,329.1422,-61.1459,8.31,G03255;G03252
277688819,329.2365,-61.8464,7.06,G03223;G03252;20SECONDTARGET
394015973,329.9487,-59.57,7.97,G03255;G03252
394124612,348.3175,-60.5842,8.31,G03252;20SECONDTARGET
201250317,0.679,-56.7815,9.23,G03255;G03252
267021905,350.366,-54.9316,10.68,G03255;G03252
355687188,0.3179,-60.6159,9.7,G03252
469933721,350.9779,-53.8089,5.88,G03255;G03252
121489177,343.4412,-44.7146,11.19,G03252
139147794,344.4307,-42.8278,10.63,G03252
139191168,345.4444,-44.8411,7.18,G03223;G03251;G03252;20SECONDTARGET
139232635,346.7193,-43.5204,4.04,G03156;G03252;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
139363516,349.5922,-44.6444,10.28,G03252
144309524,355.0139,-47.6438,11.39,G03252
152808505,343.7503,-40.9263,7.88,G03251;G03252;20SECONDTARGET
175376065,348.8025,-40.0536,9.94,G03252
382456625,351.0397,-47.4562,11.19,G03252
402047030,352.3573,-48.4001,8.04,G03252
44627561,341.6788,-44.2838,9.07,G03252
139825582,324.9203,-51.5727,7.4,G03255;G03252
139845816,325.767,-48.1896,8.02,G03255;G03252
147085268,321.6019,-46.9857,8.02,G03252
147383831,326.619,-47.7492,10.96,G03252
161172103,339.785,-52.692,6.33,G03255;G03252
219332123,338.578,-54.298,7.17,G03255;G03252
231263500,334.0435,-48.0099,9.73,G03255;G03252
265566844,330.4163,-54.1573,7.52,G03255;G03251;G03252
316879934,324.9661,-55.0625,10.66,G03252
88330362,333.7572,-46.4891,9.6,G03252
230983365,24.734,-58.5798,8.31,G03255;G03251;G03252
231020078,27.4326,-58.5668,9.03,G03255;G03252
231046921,28.8158,-59.2737,9.46,G03252
231864125,5.7548,-60.284,9.85,G03255;G03252
234490176,9.0949,-63.6799,10.67,G03252
234498473,10.6727,-65.6086,5.21,G03252
234516307,14.257,-63.2752,8.78,G03252
234528371,16.475,-60.0608,8.98,G03255;G03252
