# TESS Program G03251

Title: Asteroseismology Of Solar-Type Stars With TESS

PI: Huber, Daniel - University Of Hawaii (Manoa)

Type: LARGE

Summary: Asteroseismology is one of the most powerful methods to determine fundamental properties of solar-type stars. However, the currently known sample of stars with asteroseismic detections is small, and many of them are too faint to have the independent constraints necessary to constrain poorly understood stellar interior physics such as convection. Here we propose 2-minute and 20-second cadence observations for the TESS Asteroseismic Science Consortium (TASC) that will double the Cycle 1 asteroseismic yield of solar-type stars, allowing us to (i) establish the first catalog of asteroseismic benchmark stars in the southern ecliptic hemisphere, (ii) probe the physics of stellar convection in solar-type stars and (iii) investigate the efficiency of convective mode excitation for hot stars.


# Sector 027 targets observed (2 min: 4573, 20 s: 42)
159671085,318.1367,-41.8076,8.25,G03251
159731771,318.8678,-41.3956,8.45,G03251
200643351,320.345,-45.8103,8.94,G03251
200645081,320.628,-44.1456,8.0,G03251
262470499,312.0971,-37.3634,8.14,G03251
262471695,313.4408,-36.7138,8.17,G03251
290238899,304.5386,-41.7377,11.1,G03251
290239335,304.7561,-41.3471,9.82,G03251
290273484,304.9447,-38.936,8.81,G03251
290325303,305.3725,-41.5497,9.82,G03251
290325317,305.3971,-41.5255,10.54,G03251
290360716,305.4572,-40.1101,10.84,G03251
290422788,305.9484,-41.5487,9.91,G03251
290518747,306.4498,-39.6684,10.63,G03251
290596557,306.9074,-40.6382,8.28,G03251
290632097,307.0266,-38.115,8.7,G03251
290633807,307.0222,-41.0241,10.78,G03251
290758622,307.926,-37.9249,8.37,G03251
290761749,307.9704,-40.9024,7.68,G03227;G03251
290822805,308.1776,-40.2503,8.82,G03251
290824002,308.3448,-41.5259,6.22,G03251
290865059,308.4879,-38.0477,8.75,G03251
290925810,308.8342,-40.2852,8.13,G03251
290968657,309.0101,-38.7011,10.54,G03251;G03212
290972656,309.0301,-39.8111,11.08,G03251
290974451,309.2943,-40.7939,10.45,G03251
291009248,309.3007,-39.928,8.39,G03251
291013459,309.3537,-39.3283,11.07,G03251
291014523,309.4332,-41.2279,6.18,G03251
291062075,309.7221,-37.3157,9.2,G03251
291062122,309.7164,-37.375,9.84,G03251
291063207,309.7407,-39.2444,8.03,G03251
291065233,309.7913,-40.8649,10.36,G03251
291110581,309.7862,-39.2663,9.74,G03251
291111105,309.7665,-38.3218,10.0,G03251
355056002,303.6924,-40.1554,9.33,G03251;G03212
355057966,303.8554,-40.8465,10.22,G03251
355058575,303.8737,-40.0322,8.24,G03251
355096765,314.5954,-40.9937,7.31,G03251
355134748,307.109,-42.9734,10.16,G03251
355139907,307.1451,-46.9129,9.07,G03251
369219815,314.1182,-37.3373,7.96,G03251
369249505,314.347,-41.0821,7.87,G03251
369456630,311.5783,-39.9035,11.26,G03251
369456785,311.6054,-39.6164,8.45,G03251
369982881,306.3703,-43.7418,11.25,G03251
369986230,307.3839,-45.9112,9.03,G03251
370011782,307.3323,-42.5649,10.66,G03251
376169151,310.4021,-37.7949,8.42,G03251
382179645,304.4604,-40.1859,7.18,G03251
382319366,318.3268,-46.0033,10.3,G03251
382322852,320.2111,-45.8109,6.88,G03227;G03251
389243431,303.1446,-41.2074,10.23,G03251
389293700,303.2306,-39.5481,8.59,G03251
389309847,310.7588,-39.1252,8.97,G03251
389310689,310.7095,-40.861,8.21,G03251
389311971,310.9595,-40.3462,9.96,G03251
389350921,311.0641,-36.9332,10.65,G03251
389446961,312.2096,-37.4228,9.57,G03251
389447270,312.258,-36.7812,7.77,G03251
389450629,312.3712,-41.7114,7.81,G03251
389453404,312.6912,-39.1008,9.01,G03251
389471639,312.6294,-37.7521,9.84,G03251
389477357,313.0176,-38.1655,7.89,G03251
389520584,312.9526,-36.4132,10.03,G03251
389525208,313.2614,-38.5949,10.07,G03251;G03068
389527802,314.5556,-39.0547,9.24,G03251
389585388,311.2751,-43.4758,9.03,G03251
389587663,311.9875,-45.2177,8.21,G03251
389587807,311.8991,-45.561,8.8,G03251
389610795,312.1229,-43.9892,4.77,G03156;G03251;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
389612817,312.1839,-43.9828,7.26,G03251
389656016,313.0373,-44.1175,8.21,G03251
415615398,313.6469,-36.8947,8.35,G03251
415643747,313.5969,-40.5413,11.42,G03251
425816761,305.9416,-45.7118,9.25,G03251
425816910,305.841,-45.4873,10.02,G03251
425826751,316.347,-45.2419,7.81,G03251
90850770,307.5967,-44.8877,10.96,G03251
90950962,308.3269,-44.9531,10.0,G03251
90952543,308.524,-47.8905,8.93,G03251
90954119,308.4981,-44.8655,10.47,G03251
90954641,308.4428,-43.9304,9.96,G03251
91011464,308.6873,-45.0886,8.52,G03251
91034988,309.0043,-45.2732,9.15,G03251
91036149,309.0314,-47.5546,9.1,G03251
91037668,309.1853,-45.4594,8.43,G03251
91049558,309.5258,-45.9515,9.87,G03251
91095417,309.4239,-43.4987,7.62,G03251
91095518,309.4087,-43.3328,10.91,G03251
91097913,309.6479,-44.9104,10.29,G03251
91126771,309.904,-42.8234,8.31,G03251
91127189,309.9889,-43.6065,9.6,G03251
91127782,309.9074,-44.7176,10.14,G03251
91128505,309.9139,-46.1759,10.73,G03251
91169180,310.2253,-45.574,9.69,G03251
91191786,310.3606,-43.8425,10.54,G03251
91192479,310.4442,-42.5618,8.9,G03251
91192873,310.6391,-42.0082,9.37,G03251
91193655,310.5194,-43.4151,11.23,G03251
91232312,310.7721,-46.7737,9.75,G03251
91232530,310.8315,-46.3557,8.66,G03251
91253162,310.8476,-44.3551,10.02,G03251
91256336,311.0316,-44.7725,7.6,G03227;G03251
91256473,311.0554,-44.499,9.72,G03251
91330736,311.8165,-47.1728,7.07,G03251
91332256,311.7832,-44.0242,9.08,G03251
91369257,312.3496,-42.1892,8.96,G03251
91369724,312.6363,-42.4886,7.86,G03251
91392267,312.7908,-44.8523,9.42,G03251
91430444,313.3318,-45.318,8.25,G03251
91434140,313.5931,-46.3331,9.18,G03251
91447759,313.7059,-46.6015,7.1,G03251
91448401,313.7547,-45.1733,9.54,G03251
91449471,313.7559,-42.8653,8.44,G03251
92651898,316.04,-35.8025,8.74,G03251
114811715,304.0107,-36.9266,9.93,G03251
