ID,ra,dec,Tmag
294978365,72.121907,-69.054222,13.852
167308905,98.062864,-70.876045,11.681
350861314,90.569173,-59.236393,10.359
150438041,97.633521,-65.297646,12.287
260506296,96.750242,-56.367825,13.901
271890477,112.541482,-74.207809,11.204
140969869,77.89548,-74.36393,14.237
43605290,75.489454,-6.94609,9.466
391903064,106.529799,-75.81971,8.734
272322827,119.038076,-71.985878,7.447
277016043,83.753663,-70.897812,13.701
287328848,109.749399,-58.824848,14.421
55481273,71.301648,-60.899891,13.629
150359892,96.329627,-60.791912,10.05
306511229,119.040235,-67.695457,12.524
260542013,97.136007,-58.090092,12.868
450060052,75.495047,9.98299,8.804
25133604,62.330263,-70.00428,13.266
370101728,69.991559,-71.505646,7.141
272235688,117.412902,-71.962685,9.429
382028501,78.524016,-56.615723,13.888
141278810,82.798273,-73.529472,14.047
55271423,76.54966,-60.356003,14.635
260371854,95.339915,-55.950291,9.91
167338859,98.383128,-69.439964,13.355
140658484,72.495775,-73.824265,9.504
141609430,88.724956,-75.458939,7.824
295072161,72.677979,-70.354416,10.005
177352028,104.004119,-75.568642,13.644
260244471,93.701675,-58.218479,14.077
358174909,70.785713,-77.009132,9.573
271596225,108.561703,-74.602493,11.664
373921198,81.870418,-69.368752,9.847
260475252,96.248507,-56.566181,13.687
260244435,93.770859,-58.128712,12.989
358402782,78.122504,-56.716259,8.492
382259037,82.644107,-55.404587,11.612
300709924,115.061112,-71.515663,12.46
38939585,69.61631,-60.480663,14.213
141611276,89.022427,-76.088425,8.373
141407201,83.769863,-72.484406,10.158
149475559,85.267557,-64.819016,13.321
358176584,107.165853,-76.706528,11.293
38707423,66.543513,-60.742931,11.044
271725679,110.767733,-74.609825,13.564
149993445,90.740659,-63.323765,13.917
388182039,105.648365,-75.147705,10.383
350713883,88.388261,-59.203976,11.936
260542756,97.066037,-59.704563,12.402
300448674,111.797141,-68.679001,9.932
55744694,74.689459,-64.352753,12.018
260046328,91.805553,-54.66494,8.092
391946225,108.02678,-72.545761,13.949
140760006,74.390173,-74.407776,11.584
250379462,29.530674,-0.419634,9.034
167755378,104.204913,-62.167976,9.812
382157531,80.780213,-56.923458,14.066
177163233,104.46741,-70.959,12.99
423161541,287.719158,-48.077778,10.928
242994948,60.295935,12.098324,10.509
370228027,85.486341,-75.588455,12.558
340703996,6.184143,-27.140068,11.327
349788510,113.444866,-64.070602,13.524
179583882,80.546285,-69.764534,9.501
349306470,109.35392,-61.451672,9.594
16909043,264.265327,-44.319118,8.152
31313085,88.430479,-68.412132,13.562
349571256,111.729008,-61.806042,12.503
150097991,91.652715,-63.600273,13.382
382200069,81.604689,-55.385876,11.164
55499867,71.928586,-65.179482,13.355
348992095,106.745386,-62.353008,12.592
388130108,65.537689,-67.100113,13.957
350298298,83.609188,-59.303616,11.294
382030592,78.697907,-56.758503,9.152
33878971,66.139662,-72.718216,12.933
38583513,63.52561,-65.414864,14.083
152799629,343.426619,-37.592285,8.769
260003140,91.031959,-58.200413,9.32
167207589,97.447322,-68.411835,8.618
382257670,82.373883,-56.11068,10.412
41230546,91.545061,-67.293839,10.114
214912529,342.028802,-37.75671,7.393
167165793,96.748137,-70.094772,13.958
389568266,86.48764,-66.665741,12.597
167813804,105.215938,-60.029045,9.398
167006493,94.812296,-68.831421,8.544
141480937,86.964943,-73.88192,9.735
348839915,98.758758,-57.869122,9.57
47423224,342.018609,-24.368753,9.741
347509900,30.567538,10.337137,11.825
55556127,72.872657,-63.669849,13.359
167754523,104.181689,-60.686905,9.278
55653435,74.010822,-64.242058,13.606
141543620,87.869325,-76.079849,13.348
408587159,34.124067,13.587127,11.986
41533357,93.775156,-71.702835,6.104
279475675,105.109997,-59.706421,14.791
177282821,102.505819,-72.376877,12.738
375060694,99.991114,-64.20919,11.248
176983552,101.543014,-66.537895,13.016
150360085,96.43366,-61.10873,10.688
142144969,99.731049,-74.42543,8.991
29983149,72.834265,-69.80468,13.393
365779699,82.000625,9.643962,9.847
373594903,80.989137,-66.387886,9.669
177349362,103.849316,-72.641708,10.448
33880418,66.464156,-74.120682,13.544
141911744,94.708671,-74.948486,10.279
123366965,31.452461,-30.176697,9.779
381976770,77.528416,-58.111736,14.188
279249351,103.971694,-56.942421,6.817
214992249,342.442052,-37.854416,8.001
271693199,109.769383,-76.416908,7.792
177309385,103.31853,-74.725243,7.177
150030323,91.056681,-60.942059,13.313
55479529,71.291325,-65.410446,14.398
220411221,70.711312,-59.033482,10.038
179038379,78.996856,-67.273735,12.732
149305070,83.307001,-65.022743,8.052
167010837,95.221692,-67.508392,12.717
300383439,111.374253,-69.371414,9.115
38515801,62.551494,-63.856133,13.356
188580272,343.319676,-14.263586,7.507
279091327,102.875906,-58.829903,10.127
349643646,111.870545,-59.994701,11.945
29832209,66.440815,-69.993614,7.235
350027679,114.922156,-64.121811,9.355
141527579,87.7359,-76.620361,12.343
41229386,91.653566,-68.10994,9.302
150103472,92.185185,-65.878647,14.615
294398491,109.160237,-58.430305,11.763
220411388,70.630881,-59.752052,13.542
389865710,87.588434,-66.607948,9.811
220478211,75.828522,-58.51889,9.288
30403921,74.529914,-70.149246,8.209
218263393,262.166316,-46.89513,7.152
179034959,64.40358,-24.330648,10.756
141271216,82.551044,-72.309395,13.858
349965094,114.302293,-65.630013,8.471
350763476,88.956477,-54.990211,10.157
30531851,74.843691,-69.722198,12.464
150185722,93.523503,-65.748589,8.855
38708042,66.50538,-62.550179,10.037
142107922,98.841186,-75.989769,9.799
55525518,72.700866,-60.792191,14.032
33714944,60.397947,-72.25528,12.374
150142207,92.675739,-62.525879,13.365
55741038,74.63337,-63.247066,9.786
279511168,105.474916,-59.808575,13.508
350146388,115.662152,-63.603886,9.34
142082467,98.319844,-72.070259,13.795
29830830,66.471044,-66.900131,11.74
38583375,63.591829,-64.96769,7.613
278825453,100.301712,-56.721172,10.324
272189927,117.181329,-72.498672,10.481
141426525,84.549735,-71.986435,13.292
150064238,91.547572,-61.438599,9.079
55556732,72.891288,-62.180603,9.955
454012528,175.339693,-36.409637,10.121
375063320,100.375056,-65.468636,7.416
141157180,81.096447,-73.340233,10.298
177353450,104.661193,-77.185684,12.633
287438823,82.386452,-71.899277,13.303
40804568,78.380179,-71.175972,13.34
55452503,70.634999,-64.904472,9.455
176933645,100.136874,-66.935181,11.725
141187110,81.693898,-77.415184,10.081
167888770,105.046833,-64.736977,9.026
349194688,108.787551,-64.229263,9.753
348895887,105.788423,-64.968254,9.593
364393829,116.516043,-63.581127,12.821
350583319,87.122818,-59.590294,9.611
42071226,24.840451,-39.602459,11.018
231079905,68.16398,-69.367447,9.238
381925231,76.272918,-56.553867,13.568
179517557,80.403319,-70.783363,11.522
167552111,101.091797,-63.7962,8.991
271891933,112.903398,-72.215004,13.842
149347480,83.608933,-60.10421,7.908
