# TESS Program G022203

Title: Investigating Stellar Activities Using Simultaneous TESS Photometry And High Cadence High Precision Radial Velocity

PI: Ge, Jian - University Of Florida

Type: LARGE

Summary: Stellar noise is the greatest factor limiting the RV detection of low-mass planets. Here we propose to make high-cadence, high-precision RV observations of 93 nearby FGK stars simultaneous with TESS observations between July 2019 and June 2020. We will use the TOU spectrograph (demonstrated <1m/s), to which the PI has full, dedicated access. These long-baseline, simultaneous time-series will be a unique and unprecedented dataset for us to develop and refine methods to model the stellar RV signals that currently hamper planet detection. This data and analysis toolkit---which will be made available publicly---will be crucial to ensure that continuing improvements of RV instruments result in confirmation of the smallest TESS planets and detections of lower-mass planets than current limit.


# Sector 014 targets observed (11)
403585118,304.3873,66.8554,5.36,G022203;G022052;G022133;G022032;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
283722336,348.3423,57.17,4.63,G022092;G022187;G022203;G022053;G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
285544488,13.2667,61.1249,4.27,G022133;G022203;G022103;G022032;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
368607344,12.4499,70.4506,6.93,G022203;G022080
373694425,26.9443,63.8511,4.91,G022092;G022203;G022038;G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
398018469,23.6327,68.9488,5.88,G022092;G022203;G022106;G022032

# Sector 025 targets observed (13)
9728611,260.1658,32.4618,4.79,G022092;G022133;G022040;G022203;G022032;G022103;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
274242146,250.6171,49.9358,5.95,G022203;G022032
116246139,267.8083,40.0725,6.05,G022203;G022032
416117806,273.8846,45.2087,5.71,G022092;G022203;G022106;G022032;G022103
219880402,261.2429,67.3069,5.54,G022092;G022187;G022203;G022032
459978312,255.5653,64.6009,5.29,G022203
233121747,273.4789,64.3975,4.56,G022133;G022203;G022103;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
259237827,293.0997,69.6513,3.94,G022092;G022133;G022187;G022203;G022032;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
403585118,304.3873,66.8554,5.36,G022203;G022052;G022133;G022032;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
368607344,12.4499,70.4506,6.93,G022203;G022080
373694425,26.9443,63.8511,4.91,G022092;G022203;G022038;G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
379603165,33.935,67.6706,6.4,G022203;G022038;G022080
398018469,23.6326,68.9488,5.88,G022092;G022203;G022106;G022032

# Sector 026 targets observed (9)
9728611,260.1658,32.4618,4.79,G022092;G022133;G022040;G022203;G022032;G022103;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
116246139,267.8083,40.0725,6.05,G022203;G022032
180762527,272.3396,29.9521,6.23,G022203;G022032
219880402,261.2429,67.3069,5.54,G022092;G022187;G022203;G022032
233121747,273.47900000000004,64.3975,4.56,G022133;G022203;G022103;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
259237827,293.0997,69.6513,3.94,G022092;G022133;G022187;G022203;G022032;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
348503219,282.0685,23.5147,5.71,G022203
416117806,273.8846,45.2087,5.71,G022092;G022203;G022106;G022032;G022103
459978312,255.5653,64.6009,5.29,G022203
