# TESS Program G04103

Title: A Survey Of Oscillations And Granulation In Evolved Solar-Type Stars

PI: Huber, Daniel - University Of Hawaii (Manoa)

Type: LARGE

Summary: Brightness variations in high-precision light curves encode powerful information about fundamental properties and convective processes in solar-type stars through oscillations and granulation. However, the current sample of stars with detected oscillations and granulation is focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to measure oscillations and granulation in evolved solar-type stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 040 targets observed (2 min: 3486, 20 s: 3)
42988516,287.5675,35.595,7.24,G04103
451748619,286.2534,27.4719,11.85,G04103
68939789,294.244,35.4643,10.65,G04103
69043986,294.1735,32.3937,9.63,G04103
69244521,294.4199,30.9566,10.54,G04103
69257615,294.3164,33.1155,11.11,G04103
69804821,294.7921,35.9287,8.79,G04103
70000119,294.8032,31.6052,8.87,G04103
70152482,294.952,32.2279,9.23,G04103
70837354,295.3612,35.4793,9.25,G04103
71181601,295.5359,31.5406,7.85,G04103
89559453,289.9686,27.7216,10.75,G04103
90062837,290.3759,28.8977,9.75,G04103
90384943,290.4602,27.6861,8.85,G04103
10267929,267.0106,33.0339,9.33,G04103
10289988,267.3519,33.1896,7.9,G04103
10290020,267.3506,33.138,8.36,G04103
10293240,267.469,31.0373,7.32,G04103
10293572,267.5251,31.4946,8.52,G04103
10359164,267.5965,35.4375,7.8,G04103
10359202,267.6375,35.3904,8.03,G04103
10363457,267.7649,30.2335,7.97,G04103
10469316,268.0708,34.2008,8.17,G04103
10490229,268.3651,32.3679,7.94,G04123;G04103
10492953,268.5304,35.5569,8.75,G04103
10583539,268.5995,32.8805,10.0,G04103
10584805,268.6004,34.6425,8.9,G04103
10585780,268.7375,35.7813,9.21,G04103
10586552,268.7734,34.6768,10.36,G04103
10588679,268.7445,31.7884,9.62,G04103
157545576,278.9566,37.6586,10.6,G04103
157588627,279.2601,37.4116,7.78,G04103
157652558,279.5319,37.696,10.72,G04103
157689809,279.6072,36.0529,7.14,G04123;G04103
158705077,269.2629,29.5433,8.39,G04103
158707166,269.395,27.9918,8.44,G04103
158754954,269.5832,27.9888,8.37,G04103
158803941,269.8024,28.8051,9.17,G04103
