# TESS Program G04074

Title: Probing Massive Star Interiors With Asteroseismology

PI: Bowman, Dominic - Katholieke Universiteit Leuven

Type: SMALL

Summary: Massive stars are important metal factories in the Universe and progenitors of core-collapse supernovae. However, a major shortcoming of stellar evolution models is their large uncertainties for interior rotation and convective core overshooting. This is because we lack detailed observational constraints on massive star interiors. Fortunately, most massive stars pulsate in gravity and pressure modes, which are extremely sensitive to a star s interior physics. The TESS mission is providing the first long-term and high-precision photometric data set for a large sample of massive stars. In this project, asteroseismology applied to 2-min TESS light curves will allow us to mitigate these large uncertainties currently in stellar evolution theory.


# Sector 040 targets observed (2 min: 189, 20 s: 2)
17035586,308.0576,41.4533,8.86,G04074
17035611,308.0547,41.4568,10.61,G04074
17035907,308.1086,41.4942,11.7,G04074
17036152,307.9873,41.5299,11.22,G04074
17036308,307.9849,41.5514,12.54,G04074
170734298,298.4103,41.3557,7.13,G04074
17125275,308.1156,41.4812,10.31,G04074
17125695,308.1894,41.4271,9.29,G04074
17125739,308.1607,41.4205,9.5,G04074
17125844,308.2466,41.4071,10.32,G04074
17125930,308.2084,41.3957,10.01,G04074
17126002,308.1542,41.3847,11.27,G04074
17126940,308.2484,41.2541,10.89,G04074
172426403,299.585,40.2129,9.43,G04074
172560369,299.6656,37.0064,11.16,G04074
172755724,299.7681,38.5133,9.66,G04074
173066803,299.98,37.0429,5.36,G04150;G04067;G04074
17448731,308.2867,41.2217,8.87,G04074
17449204,308.2947,41.2523,8.32,G04074
17449258,308.3783,41.2563,8.37,G04074
17449469,308.4041,41.2698,10.37,G04074
17449740,308.3228,41.2859,9.91,G04074
17449899,308.3262,41.2943,13.23,G04074
17450158,308.3249,41.3086,8.55,G04074
17450196,308.3115,41.3116,8.7,G04074
17450216,308.3128,41.314,7.57,G04074
17450265,308.318,41.3172,10.3,G04074
17450377,308.4129,41.3239,8.96,G04074
17450609,308.3088,41.3394,8.75,G04074
17451075,308.3531,41.3679,12.4,G04074
17451194,308.2937,41.3729,11.2,G04171;G04074
17453934,308.3565,41.5575,9.56,G04074
17456038,308.2719,41.7269,10.93,G04074
185455878,302.0296,42.6061,7.93,G04074
185883085,302.7571,42.1268,8.05,G04074
188254377,308.0537,43.066,9.18,G04074;G04123
188266446,308.2181,43.1916,6.71,G04074
188521586,308.4003,43.9854,8.12,G04074
193573033,306.0655,42.3003,8.36,G04067;G04074
193608395,306.1412,42.2376,10.57,G04074
193609012,306.1943,42.3848,9.18,G04067;G04074
193866106,306.9032,42.0354,7.31,G04074
194075739,307.126,42.0098,6.3,G04074
194120571,312.1959,36.0945,9.4,G04074
194677512,312.8789,37.9895,7.31,G04074
194840640,313.0274,38.5874,9.05,G04074
195138785,313.5672,40.8371,8.47,G04067;G04074
195674998,310.4045,43.8367,8.41,G04074;G04123
195816039,310.5286,43.1843,8.31,G04074
1968443899,304.5282,40.7317,7.2,G04074
202567458,304.0627,32.683,9.21,G04074
202681485,304.1265,35.1087,9.22,G04074
202752748,304.2007,32.3798,7.03,G04150;G04067;G04074
202816315,304.4758,34.8172,7.39,G04074
230673581,312.0693,34.4567,10.92,G04074
232846315,311.5527,35.5404,9.43,G04067;G04074;G04234
236046394,313.0149,34.6575,7.38,G04171;G04074;G04234
236101031,313.1011,35.197,9.62,G04074
239298430,300.25,42.0085,7.78,G04074
265595573,313.4193,38.1882,9.38,G04074
273630935,300.8292,39.6531,10.28,G04074
273761281,300.8724,36.025,6.39,G04074
273885188,304.6967,36.3405,7.99,G04074;G04171;G04234
273890231,304.7148,36.9613,9.1,G04067;G04074
273892788,304.6972,37.2551,8.76,G04074
273893961,304.7682,37.3988,8.9,G04074
273897184,304.7812,37.7693,8.02,G04067;G04074
273897829,304.7229,37.8427,7.97,G04074
274063294,304.7154,38.2796,6.83,G04074
274067964,304.685,38.6606,11.12,G04074
274068113,304.6749,38.6776,11.26,G04074
274070426,304.7475,38.9539,9.46,G04074
274071959,304.8113,39.1502,10.86,G04074
274072982,304.7854,39.2734,6.93,G04074
274074085,304.6882,39.4062,8.76,G04074
274076257,304.7218,39.7526,8.18,G04074
274178344,304.7407,40.7051,7.78,G04074
274502344,300.5612,37.0937,10.37,G04074
274505073,300.5014,36.7292,9.96,G04074
275808415,303.1517,35.8865,9.97,G04074
275819211,303.1327,35.2521,11.15,G04074
311943795,303.2549,41.0283,9.84,G04074
312072040,303.1991,38.2276,8.57,G04074
312085670,303.2202,36.4225,9.21,G04074
312088777,303.2676,36.0379,8.7,G04074
312227894,303.3875,36.3284,7.12,G04150;G04067;G04074
312232757,303.4595,36.6229,7.79,G04150;G04067;G04074
312242985,303.4438,37.3,8.6,G04074
312362971,303.3709,38.4794,7.78,G04074
312365000,303.3436,38.7654,5.61,G04074
312376369,303.436,40.8387,9.54,G04074
312494243,303.6086,40.3291,6.88,G04074
312626970,303.5267,38.2439,9.11,G04074
312630206,303.5137,37.7583,9.37,G04074
312637783,303.5096,36.8019,9.64,G04074
312637929,303.5357,36.7836,10.96,G04074
312639883,303.4959,36.5438,9.07,G04074
312783282,303.6149,36.1699,10.96,G04074
313280231,308.3766,32.9077,7.47,G04074
351327477,310.6712,36.3808,7.82,G04074
355902335,300.2784,37.944,11.89,G04074
356044492,300.6918,36.8726,10.96,G04074
356052575,300.6339,37.9833,11.74,G04074
378273229,302.413,35.7539,9.97,G04074
378273410,302.3692,35.7337,7.51,G04074
378275445,302.308,35.4846,8.61,G04074
378275454,302.3096,35.4838,7.71,G04074;G04171
378275690,302.3393,35.4568,11.53,G04074
378275980,302.3005,35.4251,9.6,G04074
378824542,302.7376,35.9531,7.69,G04074
380296302,303.4382,34.5022,10.13,G04074
380407422,303.4229,32.5533,9.61,G04067;G04074
380620819,303.5671,31.9977,7.17,G04074
380632257,303.5822,33.4361,9.26,G04074;G04067
40038743,300.1663,36.1975,10.5,G04171;G04074
40102236,300.4394,38.7353,7.9,G04074;G04171
40469191,301.0203,37.7066,9.08,G04074
40479710,301.0675,36.2654,9.41,G04074
40482261,301.0278,35.8831,10.27,G04074
40617326,301.1308,37.3217,10.84,G04074
40732310,301.2022,41.0383,9.43,G04074
40736060,301.4381,35.9008,8.22,G04074;G04067
40737117,301.372,36.0633,10.47,G04074
40827873,301.4396,36.52,9.63,G04074
40957316,301.5029,40.0649,8.05,G04074
41186722,301.55,37.1401,10.63,G04074
41194739,301.6009,36.0848,9.71,G04074
41315049,301.6868,36.3357,10.81,G04074
41315266,301.8032,36.3593,9.06,G04074
41315581,301.74,36.3965,7.79,G04074
41327931,301.7064,38.0276,9.8,G04074
41687811,301.8398,37.6334,11.11,G04074
41690656,301.9487,37.4434,9.71,G04074
41696319,301.9458,37.0175,10.44,G04074
41770205,302.1164,36.0939,9.86,G04074
41770470,302.019,36.1239,10.21,G04067;G04074
41903679,302.0797,38.1306,7.87,G04074
41915025,302.0324,39.7508,8.42,G04074
42001582,302.1006,41.2511,10.2,G04074
42112051,302.2021,39.7983,7.32,G04074
42118328,302.2297,38.8822,8.66,G04074
42242764,302.1446,37.501,8.99,G04074
42244951,302.1907,37.237,8.48,G04171;G04074
42249626,302.15,36.672,7.38,G04074
42256493,302.4069,35.9932,10.27,G04074
42256981,302.299,36.0485,9.24,G04074
42357160,302.3586,36.4887,8.26,G04074
42360166,302.3568,36.8397,5.22,G04150;G04067;G04074
42362622,302.3142,37.1441,11.59,G04074
42365645,302.3217,37.5022,9.52,G04074
42368452,302.3715,37.8422,10.11,G04074
42721070,302.4541,38.8241,10.84,G04074
42731491,302.5257,37.5013,10.95,G04074
42832785,302.5017,36.7008,8.36,G04074
42842436,302.5926,36.237,11.12,G04074
42940133,302.6529,37.4585,8.43,G04074
43073133,302.8205,41.9591,8.61,G04074
43195077,302.7428,41.3527,7.94,G04074
43301361,302.8202,38.23,8.77,G04074
43302143,302.7337,38.1318,9.75,G04074
43308426,302.8303,37.359,9.57,G04074
43315980,302.8636,36.4991,7.85,G04074
43316118,302.7727,36.4847,10.95,G04074
43412429,302.9794,35.8907,10.84,G04074
43429774,302.9099,36.8686,11.11,G04074
43446218,302.9374,37.5499,8.42,G04074
43546822,303.0105,37.6489,9.35,G04074
43766762,303.1379,40.2682,7.21,G04074
43881045,303.0861,38.0021,9.24,G04074
43896263,303.0927,36.2646,11.26,G04074
63456866,308.5355,41.6165,8.24,G04074
63457037,308.5563,41.5841,10.13,G04074
63457231,308.4421,41.5503,8.11,G04074
63458227,308.4158,41.3811,10.3,G04074
63458457,308.4493,41.3448,9.7,G04074
63460037,308.4969,41.0939,11.65,G04074
63550571,308.4573,38.2833,9.46,G04067;G04074
63748979,308.6817,41.4847,10.53,G04074
64213172,309.1011,39.1946,8.38,G04074
64220043,309.0758,37.4174,8.38,G04067;G04074
67251066,311.8523,36.4907,5.0,G04074;G04067
89650188,301.3221,33.7803,10.57,G04074
89753650,301.4158,35.6077,7.61,G04067;G04074
89753789,301.4015,35.6232,8.73,G04074
89755002,301.4111,35.7587,10.66,G04074;G04171
89756650,301.5114,35.957,10.63,G04074
89756665,301.4907,35.9538,9.83,G04123;G04074;G04108
89757305,301.561,35.8508,10.57,G04074
89757745,301.451,35.801,11.36,G04074
89757779,301.4946,35.7972,7.15,G04074
89758053,301.5056,35.7655,7.71,G04074
89758057,301.5172,35.7649,11.42,G04074
89758076,301.4999,35.7623,8.73,G04074;G04067
89758088,301.5158,35.761,11.44,G04074
89758091,301.4895,35.7608,11.61,G04074
89758140,301.4863,35.7559,11.5,G04074
89758569,301.4694,35.7068,10.17,G04074
89758873,301.484,35.672,7.05,G04074
89761288,301.5414,35.386,7.62,G04074;G04171
90342807,301.6709,34.9111,8.34,G04074
90345844,301.7243,35.3061,9.51,G04074
90349397,301.5929,35.7146,10.28,G04074
90349611,301.6457,35.7406,8.09,G04074;G04171
90462401,301.8431,35.8119,9.79,G04074
90463198,301.8487,35.7183,7.25,G04074
90463649,301.7539,35.6684,9.95,G04074
