# TESS Program G011060
            
Title: Rotationally-Induced Variability Of Chemically Peculiar (Cp) Stars

PI: Paunzen, Ernst - Masarykova Univerzita

Type: N/A

Summary: The chemically peculiar (CP) stars of the upper main sequence (B0 to F4) allow the testing of current theories on stellar formation and evolution in the presence of a magnetic field, elemental diffusion and meridional circulation. Several subgroups exhibit an inhomogene-ous surface distribution of elements, which leads to spectroscopic and photometric varia-tions with the rotation period. Therefore, the rotation period can be directly measured which is unique among stars of these spectral types. The resulting sample of rotational periods will allow for an analysis of its behaviour among upper-MS stars, which we will correlate with stellar parameters derived from GAIA data. TESS data will also enable us to search for the effects of binarity in the light curves.                              


# Sector 001 targets observed (197)
206532868,17.1596,-59.5443,8.25,G011060
231844926,26.1376,-61.0188,6.9,G011127;G011060
231851620,27.3056,-63.5165,8.22,G011154;G011060
234518259,14.5931,-60.6961,6.16,G011224;G011060
234528371,16.4751,-60.0608,8.97,G011060
271503787,7.894,-61.347,8.93,G011127;G011060;G011250
281499618,6.5572,-58.7961,8.93,G011060
281703963,10.8384,-57.463,4.21,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
281781542,13.2452,-59.6682,9.33,G011060
52244725,20.4529,-66.3842,6.72,G011224;G011060
183802606,20.7488,-73.5839,9.57,G011127;G011060
183802904,21.0021,-72.3244,7.7,G011127;G011060
229810275,44.7056,-73.7855,9.03,G011060
232066526,26.6464,-67.4685,10.73,G011127;G011060
234346165,38.8405,-68.1611,9.07,G011127;G011060
238185398,55.0781,-72.0376,9.14,G011060
267094416,41.6675,-77.521,8.51,G011060
280051011,43.5749,-73.4528,8.06,G011127;G011060
280051467,45.5648,-71.9024,5.66,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
304096024,26.9806,-74.0815,9.72,G011127;G011060
31780245,50.2616,-68.533,6.75,G011224;G011060
31962715,55.3014,-68.5405,9.19,G011060
394230993,47.8328,-74.4619,9.43,G011060
426016676,42.8733,-74.4053,8.3,G011060
431380369,49.0336,-73.5488,7.8,G011127;G011060
50379749,32.9706,-74.0874,8.13,G011060
52368859,24.063,-68.2515,9.63,G011127;G011060
197845723,55.0059,-55.5479,7.63,G011227;G011060
207170637,46.1189,-58.4036,8.93,G011060
207208753,48.7632,-59.1934,9.89,G011127;G011060
220559249,44.6995,-64.0713,5.06,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
262885414,53.604,-65.7641,6.57,G011060
279637399,48.7957,-64.4442,6.2,G011060;G011048
38459103,61.0184,-63.1123,9.34,G011060
38460465,61.2663,-61.4825,8.41,G011060
149303648,83.2205,-63.456,7.19,G011060
220478335,75.8576,-58.1032,9.68,G011060
370041241,65.9832,-66.7368,6.69,G011060
38586082,64.0877,-60.9484,6.3,G011127;G011060
38586127,64.1214,-61.0837,9.78,G011127;G011060
38602307,64.4179,-63.2544,7.18,G011073;G011060
396696863,65.3498,-57.5416,9.01,G011060
404927661,85.488,-66.092,8.92,G011060
55604441,73.6271,-60.4143,8.4,G011060
140893238,76.539,-73.0373,6.26,G011060
141028164,79.1198,-75.0626,9.46,G011060
141028198,78.963,-75.1031,9.7,G011127;G011060
141095359,79.5769,-74.0623,8.68,G011060
141152931,80.5866,-75.0102,8.16,G011060
141610473,88.9616,-77.8455,9.38,G011127;G011060
141808675,92.6773,-73.0129,7.53,G011060
142087047,98.7099,-75.2188,8.85,G011060
238190023,55.8527,-74.0086,7.32,G011060
238225995,58.4582,-73.5932,9.01,G011060
294747615,70.7666,-70.9309,5.63,G011155;G011073;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
29781099,65.0003,-68.7007,7.93,G011060
32035258,56.3493,-71.6579,6.42,G011127;G011060
33717892,61.3679,-75.531,9.18,G011060
33836359,64.0614,-75.344,8.09,G011060
358108310,51.1527,-76.7467,6.64,G011224;G011060
364424408,69.7568,-75.1028,9.92,G011127;G011060
370222613,73.3666,-72.7649,7.14,G011060
389570196,86.5233,-67.7097,7.84,G011060
389922504,87.8598,-70.4793,8.3,G011127;G011060
407621267,69.4623,-77.0808,9.13,G011060
41032824,90.3312,-70.0125,7.85,G011060
41259805,92.1222,-71.1199,8.85,G011127;G011060
425064757,82.9179,-69.8837,11.46,G011268;G011060
142105308,98.5196,-72.2699,7.76,G011047;G011060
167006919,94.9648,-68.4325,9.16,G011060
167751145,103.9712,-64.9971,9.73,G011127;G011060
271721765,110.4406,-75.3518,8.51,G011060
271890182,112.801,-74.6909,7.32,G011060
300038935,107.8437,-68.8333,9.08,G011060
300710144,115.2643,-71.2089,8.68,G011060
300745960,116.444,-67.5402,8.87,G011060
306573201,119.1954,-70.7162,8.59,G011127;G011060
306893839,121.9636,-69.8992,8.07,G011127;G011060
307288162,125.1169,-68.1607,9.45,G011127;G011060
307291308,125.0019,-71.5052,5.74,G011155;G011241;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
307291318,124.9537,-71.5147,5.47,G011155;G011241;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
307642246,127.4288,-67.1397,7.27,G011127;G011060
308085294,129.8102,-69.2739,7.06,G011127;G011060
350146577,115.9039,-63.3989,8.35,G011127;G011060
391892593,115.455,-68.0284,9.32,G011060
391927456,107.6249,-72.3426,7.82,G011060
391927730,108.1712,-72.0029,9.23,G011127;G011060
149630117,87.4444,-60.8054,9.05,G011060
150357935,96.1953,-62.8364,8.0,G011060
260353074,94.836,-54.8656,8.96,G011060
260416268,95.7323,-56.3701,5.47,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
260505542,96.7452,-55.0331,8.19,G011060
260609222,97.4443,-57.2749,8.84,G011060
260656935,98.4144,-54.1171,8.02,G011227;G011060
262497948,109.8257,-58.0519,6.46,G011224;G011060
279091054,102.8115,-59.3002,9.59,G011127;G011060
279215865,103.4977,-55.78,9.09,G011060
279361762,104.7667,-58.5147,8.04,G011060
279569707,105.968,-57.6291,8.97,G011060
279573219,106.0764,-56.7497,5.3,G011155;G011127;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
287273024,109.413,-59.262,7.43,G011060
348898673,106.1613,-61.8439,9.56,G011127;G011060
349056430,107.4062,-62.3047,8.19,G011060
350519062,86.0838,-56.916,7.47,G011127;G011060
350580827,86.8899,-55.0365,8.1,G011060

# Sector 003 targets observed (160)
268616942,16.0066,-18.5653,9.28,G011127;G011060
27985664,10.3264,-19.8627,10.09,G011127;G011060
326194064,16.8043,-23.9965,6.16,G011224;G011060
43361780,9.604,-24.663,8.36,G011060
439399848,13.2823,-17.6517,7.38,G011060
63769773,11.7496,-24.2169,7.31,G011060
98659335,8.9999,-18.764,8.94,G011060
98660068,9.0282,-22.8426,5.83,G011060
98672610,9.6329,-20.2965,6.86,G011127;G011060
136842396,22.8186,-11.119,9.19,G011127;G011060
257396059,22.0672,-12.2461,6.62,G011224;G011060
257420925,22.2331,-14.0326,8.73,G011127;G011060
29938070,24.8381,-17.7935,7.37,G011060
32551881,20.8928,-13.043,9.85,G011060
423700466,21.7149,-13.0564,5.18,G011155;G011060;G011048;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
441493882,23.1823,-22.4142,8.46,G011060
92984630,28.2173,-16.9296,5.5,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
248346556,16.9231,-2.7434,8.33,G011060
248354858,17.8959,-5.3403,8.48,G011127;G011060;G011048
248390187,19.412,-4.8081,8.78,G011060
248944413,20.2214,-1.3106,7.13,G011060
248946257,20.4519,-1.997,8.17,G011060
29836061,23.2648,-9.0147,6.62,G011060
29903974,24.5445,-6.654,8.76,G011060
299099849,21.2526,-5.9464,6.69,G011060
212982053,9.7901,-3.9927,8.67,G011060
24186142,14.3855,-10.4758,7.67,G011127;G011060
24225890,14.9137,-11.9337,9.72,G011127;G011060
398673781,13.871,-6.4142,7.82,G011060
423663684,8.1837,-13.4871,8.5,G011127;G011060
115351036,28.0409,-36.2414,8.96,G011060
160191930,27.1913,-46.8564,9.12,G011060
165918231,31.3109,-42.7141,8.41,G011060
165918423,31.4554,-41.9282,9.52,G011060
229099027,28.5915,-42.4971,5.17,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
41954053,21.9548,-37.668,8.24,G011060
42055368,24.3274,-40.1773,7.9,G011060
308225941,40.3736,-37.7902,8.85,G011060
91542972,43.7066,-33.5248,6.66,G011224;G011060
268751602,31.566,-19.124,9.95,G011127;G011060
313940354,30.6177,-29.6656,6.3,G011060
33590498,28.0865,-25.0448,8.33,G011060
33594839,28.814,-25.3672,8.39,G011227;G011060
70577478,37.8903,-27.5045,7.34,G011060
72586907,31.1227,-29.2968,4.94,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
72638611,32.1656,-25.7411,8.66,G011060
11489536,17.9606,-26.357,9.71,G011060
11646496,21.3654,-28.7823,8.12,G011060
326185137,16.4819,-26.729,8.37,G011227;G011127;G011060
340705975,16.6112,-35.6608,6.51,G011060
