# TESS Program G06161

Title: Ultra-High-Speed Observations Of White Dwarfs In TESS Cycle 6

PI: Hermes, James - Boston University

Type: SMALL

Summary: We propose ultrafast, 20-second-cadence observations of several hundred white dwarfs visible in Cycle 6 of the TESS mission. Our proposed 20-second observations will uniquely enable asteroseismology of a large sample of known and high-likelihood pulsating white dwarfs, continuing the space-based revolution into the interiors of pulsating white dwarfs. We also propose to observe a subset of white dwarfs with known rapid variability detected by previous TESS data, including many white dwarfs in eclipsing compact binaries as well as some transiting planetary debris systems. Our proposed science case requires the fastest cadence available from TESS, and will expand the largest catalog of rapid variability in white dwarfs ever created.


# Sector 070 targets observed (2 min: 123, 20 s: 123)
2515421,80.1601,30.8058,15.63,G06161;G06049;G06028;G06075;20SECONDTARGET
27327111,77.5086,23.2613,15.31,G06161;G06049;G06028;20SECONDTARGET
311920919,88.142,31.4003,14.98,G06161;G06049;G06028;G06197;20SECONDTARGET
722865779,84.3026,32.2495,16.96,G06161;G06057;20SECONDTARGET
247830057,87.6283,14.5801,16.7,G06161;20SECONDTARGET
247907873,87.9507,15.4771,16.4,G06161;G06049;G06028;20SECONDTARGET
247924783,88.1294,16.7136,15.09,G06161;G06049;G06028;G06175;20SECONDTARGET
29520823,86.5087,20.9325,16.47,G06161;20SECONDTARGET
358497380,87.5187,19.1753,16.02,G06161;G06049;G06028;G06024;20SECONDTARGET
412252434,80.4619,16.3809,16.1,G06161;20SECONDTARGET
719020893,81.1509,13.2595,16.78,G06161;G06049;G06028;20SECONDTARGET
719825144,81.2457,21.6614,17.31,G06161;G06049;G06028;20SECONDTARGET
372608807,101.5875,14.5378,15.85,G06161;20SECONDTARGET
434394175,93.8274,17.7255,13.72,G06161;G06049;G06028;20SECONDTARGET
438046408,95.1251,16.5364,16.89,G06161;G06049;G06028;20SECONDTARGET
438060759,95.2177,13.4082,15.35,G06161;G06049;G06028;G06197;20SECONDTARGET
46048105,93.4443,20.8408,15.71,G06161;G06049;G06028;20SECONDTARGET
55114692,99.3123,19.3909,16.27,G06161;G06049;G06028;20SECONDTARGET
55225758,99.4847,21.841,16.1,G06161;G06049;G06028;20SECONDTARGET
59543629,94.8839,15.4434,16.21,G06161;G06049;G06028;20SECONDTARGET
715335692,95.5052,11.6254,16.23,G06161;20SECONDTARGET
717159782,91.1614,17.2351,15.25,G06161;20SECONDTARGET
717532310,96.3179,14.9327,17.51,G06161;20SECONDTARGET
718411843,92.0997,20.503,17.57,G06161;G06049;G06028;20SECONDTARGET
762413205,100.5055,12.011,17.32,G06161;20SECONDTARGET
762836282,100.2422,15.2937,17.25,G06161;G06049;G06028;20SECONDTARGET
164868940,90.7374,33.238,16.55,G06161;G06049;G06028;20SECONDTARGET
721975772,96.5553,32.2197,16.22,G06161;20SECONDTARGET
723331789,90.8785,34.0083,17.27,G06161;G06049;G06028;20SECONDTARGET
423082992,116.188,24.7197,16.66,G06161;G06049;G06028;G06024;20SECONDTARGET
740335647,110.6191,22.2029,16.39,G06161;G06049;G06028;20SECONDTARGET
740412388,114.8962,24.7514,17.72,G06161;G06049;G06028;20SECONDTARGET
740899512,107.5759,28.6576,16.36,G06161;G06049;G06028;20SECONDTARGET
87749981,106.9794,26.8507,15.84,G06161;G06049;G06028;20SECONDTARGET
87949800,107.5201,29.4004,15.63,G06161;G06049;G06028;20SECONDTARGET
91735009,105.9888,25.5714,13.97,G06161;G06049;G06028;G06197;20SECONDTARGET
94748632,112.9379,23.8978,16.2,G06161;G06049;G06028;G06024;20SECONDTARGET
95239212,115.6958,25.8327,17.15,G06161;G06049;G06028;20SECONDTARGET
14448610,110.7508,16.2848,15.14,G06161;G06049;G06028;20SECONDTARGET
14854216,114.4049,15.6919,16.74,G06161;G06049;G06028;20SECONDTARGET
247051174,112.1779,17.1311,16.53,G06161;20SECONDTARGET
247113600,112.6285,12.2726,16.36,G06161;G06049;G06028;20SECONDTARGET
387684419,103.1786,14.272,16.31,G06161;20SECONDTARGET
762000503,111.7837,14.871,17.27,G06161;20SECONDTARGET
762131358,114.0673,16.3824,16.67,G06161;20SECONDTARGET
763143262,108.2501,16.6859,16.78,G06161;G06049;G06028;20SECONDTARGET
18997591,119.3291,14.3477,16.33,G06161;G06049;G06028;20SECONDTARGET
334514903,123.3038,11.5104,16.65,G06161;G06049;G06028;20SECONDTARGET
388014281,120.3124,10.3457,16.2,G06161;G06049;G06028;20SECONDTARGET
392088911,120.5231,19.0082,16.22,G06161;20SECONDTARGET
427537960,117.1768,11.4177,16.48,G06161;G06049;G06028;20SECONDTARGET
453210132,117.9226,11.3412,16.48,G06161;G06049;G06028;20SECONDTARGET
740006184,119.9601,14.1708,16.42,G06161;20SECONDTARGET
760286874,119.0943,8.2112,16.6,G06161;G06049;G06028;20SECONDTARGET
67378184,121.087,22.838,14.71,G06161;G06197;G06197;G06024;G06175;20SECONDTARGET
801395959,128.9891,29.1627,16.75,G06161;20SECONDTARGET

# Sector 072 targets observed (2 min: 95, 20 s: 95)
372608807,101.5875,14.5378,15.85,G06161;20SECONDTARGET
387684419,103.1786,14.272,16.31,G06161;20SECONDTARGET
55114692,99.3123,19.3909,16.27,G06161;G06049;G06028;20SECONDTARGET
55225758,99.4847,21.841,16.1,G06161;G06049;G06028;20SECONDTARGET
717532310,96.3179,14.9327,17.51,G06161;20SECONDTARGET
762413205,100.5055,12.011,17.32,G06161;20SECONDTARGET
762836282,100.2422,15.2937,17.25,G06161;G06049;G06028;20SECONDTARGET
740899512,107.5759,28.6576,16.36,G06161;G06049;G06028;20SECONDTARGET
87749981,106.9794,26.8507,15.84,G06161;G06049;G06028;20SECONDTARGET
87949800,107.5201,29.4004,15.63,G06161;G06049;G06028;20SECONDTARGET
91735009,105.9888,25.5714,13.97,G06161;G06049;G06028;G06197;20SECONDTARGET
164868940,90.7374,33.238,16.55,G06161;G06049;G06028;20SECONDTARGET
311920919,88.142,31.4003,14.98,G06161;G06049;G06028;G06197;20SECONDTARGET
721193834,90.4731,27.8586,16.25,G06161;G06049;G06028;20SECONDTARGET
722865779,84.3026,32.2495,16.96,G06161;G06057;20SECONDTARGET
723331789,90.8785,34.0083,17.27,G06161;G06049;G06028;20SECONDTARGET
247830057,87.6283,14.5801,16.7,G06161;20SECONDTARGET
247907873,87.9507,15.4771,16.4,G06161;G06049;G06028;20SECONDTARGET
247924783,88.1294,16.7136,15.09,G06161;G06049;G06028;G06175;20SECONDTARGET
29520823,86.5087,20.9325,16.47,G06161;20SECONDTARGET
358497380,87.5187,19.1753,16.02,G06161;G06049;G06028;G06024;20SECONDTARGET
434394175,93.8274,17.7255,13.72,G06161;G06049;G06028;20SECONDTARGET
438046408,95.1251,16.5364,16.89,G06161;G06049;G06028;20SECONDTARGET
46048105,93.4443,20.8408,15.71,G06161;G06049;G06028;20SECONDTARGET
59543629,94.8839,15.4434,16.21,G06161;G06049;G06028;20SECONDTARGET
717159782,91.1613,17.2351,15.25,G06161;20SECONDTARGET
718411843,92.0997,20.503,17.57,G06161;G06049;G06028;20SECONDTARGET
91690158,88.4745,12.4023,15.79,G06161;G06024;20SECONDTARGET
334514903,123.3038,11.5104,16.65,G06161;G06049;G06028;20SECONDTARGET
388014281,120.3124,10.3456,16.2,G06161;G06049;G06028;20SECONDTARGET
800420812,130.2322,13.0581,17.25,G06161;G06049;G06028;20SECONDTARGET
197244063,133.8775,19.077,16.61,G06161;G06049;G06028;20SECONDTARGET
801306068,136.8925,27.6508,16.32,G06161;G06049;G06028;20SECONDTARGET
801395959,128.9891,29.1627,16.75,G06161;20SECONDTARGET
423082992,116.188,24.7197,16.66,G06161;G06049;G06028;G06024;20SECONDTARGET
67378184,121.087,22.838,14.71,G06161;G06197;G06197;G06024;G06175;20SECONDTARGET
740335647,110.6191,22.2029,16.39,G06161;G06049;G06028;20SECONDTARGET
740412388,114.8962,24.7514,17.72,G06161;G06049;G06028;20SECONDTARGET
94748632,112.9379,23.8978,16.2,G06161;G06049;G06028;G06024;20SECONDTARGET
95239212,115.6958,25.8327,17.15,G06161;G06049;G06028;20SECONDTARGET
14448610,110.7508,16.2848,15.14,G06161;G06049;G06028;20SECONDTARGET
14854216,114.4049,15.6919,16.74,G06161;G06049;G06028;20SECONDTARGET
18997591,119.3291,14.3477,16.33,G06161;G06049;G06028;20SECONDTARGET
247051174,112.1779,17.1311,16.53,G06161;20SECONDTARGET
247113600,112.6285,12.2726,16.36,G06161;G06049;G06028;20SECONDTARGET
392088911,120.5231,19.0082,16.22,G06161;20SECONDTARGET
427537960,117.1768,11.4177,16.48,G06161;G06049;G06028;20SECONDTARGET
453210132,117.9226,11.3412,16.48,G06161;G06049;G06028;20SECONDTARGET
762000503,111.7837,14.871,17.27,G06161;20SECONDTARGET
762131358,114.0673,16.3824,16.67,G06161;20SECONDTARGET
763143262,108.2501,16.6859,16.78,G06161;G06049;G06028;20SECONDTARGET
321317286,137.8498,16.9032,16.27,G06161;G06049;G06028;20SECONDTARGET
91895178,141.8943,19.7291,15.98,G06161;G06049;G06028;20SECONDTARGET
290653324,141.2974,5.1585,15.27,G06161;G06049;G06028;G06075;20SECONDTARGET
330621568,135.8803,14.0136,16.41,G06161;G06049;G06028;20SECONDTARGET
437042755,134.0787,16.1842,15.83,G06161;G06049;G06028;20SECONDTARGET
800126377,132.8676,6.0973,16.87,G06161;20SECONDTARGET
800153845,133.7801,6.5943,17.31,G06161;G06049;G06028;20SECONDTARGET
840024501,143.1239,8.4437,16.93,G06161;G06049;G06028;20SECONDTARGET
840024666,142.4017,8.2629,16.79,G06161;G06049;G06028;20SECONDTARGET
277747736,153.9502,3.1126,15.73,G06161;G06049;G06028;20SECONDTARGET
350019983,154.4987,8.6383,16.18,G06161;G06049;G06028;20SECONDTARGET
377064855,148.2465,7.5181,16.09,G06161;G06049;G06028;20SECONDTARGET
389195450,145.8099,11.2701,16.46,G06161;20SECONDTARGET
842030351,149.6381,1.5137,16.86,G06161;G06049;G06028;20SECONDTARGET
842376701,147.9835,8.1583,17.05,G06161;G06049;G06028;20SECONDTARGET
239200995,148.7947,18.0377,16.38,G06161;G06049;G06028;20SECONDTARGET
