# TESS Program G06037

Title: TESS Lifts The Veil On The Unconstrained Interiors Of Massive Stars

PI: Bowman, Dominic - Katholieke Universiteit Leuven

Type: SMALL

Summary: Massive stars are important chemical factories in the Universe and progenitors of core-collapse supernovae. However, a major limitation of stellar evolution models is their uncalibrated prescriptions for interior rotation and mixing processes. This is because we lack detailed empirical constraints on massive star interiors. Fortunately, most massive stars pulsate in pressure and gravity modes, which are highly sensitive to a star s interior physics. The TESS mission is providing the first set of long-duration and high-precision light curves for a large sample of massive stars. In this project, asteroseismology applied to 2-min TESS light curves will allow us to mitigate the large rotation and mixing uncertainties in stellar evolution theory.


# Sector 070 targets observed (2 min: 26, 20 s: 0)
311911369,87.9782,32.2397,8.71,G06037
311917189,88.0452,29.9165,9.23,G06037
311996620,88.1194,34.1037,10.3,G06037
312353807,88.6175,31.1613,10.22,G06037
312563333,88.9027,30.7114,8.29,G06037
319572574,94.9235,23.2889,9.12,G06037
319572617,94.9738,23.2651,8.75,G06037
3461758,82.8628,34.2471,11.23,G06037
3462120,82.8596,34.1861,10.89,G06037
3465772,82.8303,32.6143,11.75,G06037
353298304,89.8832,32.8869,8.76,G06037
353716687,90.7768,31.0523,8.84,G06037
3544794,82.8588,30.6989,10.63,G06037
367264057,91.137,30.2384,9.49,G06037
400163968,90.2059,30.7583,10.49,G06037
400166377,90.9588,30.1692,8.94,G06037
400277908,91.35,33.7338,8.54,G06037
400278133,91.3912,33.599,6.29,G06037
426486869,94.2446,23.7409,5.74,G06037
426764485,90.1421,23.5923,12.17,G06037
429433143,90.2705,23.3622,12.07,G06037
429433216,90.2745,23.339,7.67,G06037;G06073;G06139
429433232,90.2239,23.3329,9.77,G06037
429433245,90.2707,23.3288,11.45,G06037
429433253,90.2434,23.3257,12.14,G06037
429433318,90.2819,23.3048,6.75,G06037
429433328,90.31,23.3025,11.76,G06037
429716670,94.067,23.608,11.13,G06037
429864788,94.6067,23.5714,8.58,G06037
429950575,94.8439,23.2745,6.38,G06037
429950993,94.8304,23.4694,6.6,G06037
437799422,83.39,23.3423,8.43,G06037
44755160,91.2736,23.394,9.77,G06037
45037093,91.8912,23.7391,8.85,G06037
74159006,83.1943,26.7474,8.17,G06037
74386000,83.6629,28.051,7.89,G06073;G06037;G06183;G06139
74387059,83.6526,27.5927,8.63,G06073;G06037;G06139
74636411,84.0112,26.2683,8.14,G06037
74721767,84.1658,27.9117,8.13,G06037
75078662,84.7274,26.3158,8.24,G06073;G06037
75170940,84.7417,28.4601,8.17,G06073;G06037;G06139
75172674,84.8263,29.2152,5.84,G06037
75239191,84.9351,27.7808,8.96,G06037
75424069,85.1352,27.4428,8.43,G06037
75508636,85.4352,29.726,9.39,G06037
75509134,85.4973,29.5226,8.62,G06037;G06139
75592524,85.4033,26.6155,7.93,G06037
75594842,85.4125,25.5135,8.48,G06037
75692141,85.5659,25.7837,9.51,G06037
75773999,85.7108,25.7269,9.38,G06037
75852151,85.9127,25.4395,6.62,G06073;G06037;G06139
76028730,86.1155,27.2299,9.28,G06073;G06037;G06139;G06139
76032944,86.1573,29.0166,7.99,G06037
76211045,86.4355,26.5602,9.48,G06037
76216928,86.337,29.1578,9.39,G06037;G06139
76297288,86.5979,25.5437,8.56,G06037
76543999,87.2235,29.1361,8.05,G06073;G06037;G06183;G06139
76545916,87.1722,28.3246,8.16,G06037
76636576,87.2041,27.3638,7.7,G06037
76641076,87.1193,25.1135,9.5,G06037
77706854,87.9809,27.0328,9.79,G06037
77834479,88.3157,29.6885,10.9,G06037
77966679,88.3796,25.7422,8.05,G06073;G06037;G06183;G06139
78071839,88.4994,26.4225,8.15,G06073;G06037;G06183;G06139
78261043,88.8317,27.9149,9.08,G06037
78431470,88.9178,27.7156,6.81,G06037
78499882,88.9793,28.7851,9.96,G06073;G06037
78515820,88.9992,25.4013,10.17,G06037
78878491,89.4986,25.9539,4.94,G06037
79241923,89.9731,25.0886,8.79,G06073;G06037;G06139
79311055,90.1709,24.4738,10.18,G06037
79313722,90.1684,25.4741,12.56,G06037
79771845,90.7475,28.677,7.64,G06037
79775076,90.7814,27.4404,9.54,G06037
80151133,91.1299,25.3811,11.65,G06037
80151328,91.1797,25.4479,11.34,G06037
80688959,91.2444,28.7669,8.96,G06037
80893258,91.5273,28.9348,7.14,G06037
80897625,91.6173,27.309,11.45,G06037
80980016,91.7386,24.5458,9.28,G06037
81434460,92.2356,24.3598,8.12,G06037
81971119,92.9614,25.4901,11.77,G06037
81972427,92.9696,25.9836,10.38,G06037
82932027,93.8542,29.2303,8.19,G06037
83706075,95.0133,24.2293,9.61,G06037
83889457,95.417,26.8626,12.92,G06037
97669412,92.5055,32.8876,9.62,G06037
114249288,87.9105,21.5411,10.57,G06037
114683368,88.4925,20.8763,9.04,G06037
114686720,88.5074,22.1082,9.22,G06037
118904985,88.7362,19.7496,6.07,G06037
