# TESS Program G06032

Title: Ephemeris Refinement For The Esa-Ariel Mission

PI: Edwards, Billy - Sron, Netherlands Institute For Space Research

Type: MINI

Summary: The ESA-Ariel mission will characterise the atmospheres of ~1000 exoplanets. To facilitate this survey, it is critical that the ephemerides of these targets are well-known. We propose to ensure that there is 2-minute data for key currently known exoplanets and TESS Planet Candidates. These data will allow for accurate measurements of the transit mid-time and, therefore, of the planet's period. Hence, we will use the requested data to support the Ariel mission by refining the ephemerides of hundreds of targets.


# Sector 070 targets observed (2 min: 93, 20 s: 29)
144700903,85.0801,11.5625,12.68,G06165;G06058;G06155;G06032;G06057;20SECONDTARGET
19155785,81.7158,18.4197,10.22,G06032
200593988,85.336,11.1944,12.31,G06032
247518629,85.9672,16.3601,12.27,G06032
247873937,87.8242,13.7459,12.14,G06032
29374525,86.3008,18.4618,11.83,G06032
302766000,82.8785,15.7713,12.43,G06032
302895184,83.172,14.957,13.12,G06032
302976834,83.4504,16.8108,12.95,G06032
411781649,78.6734,14.4473,13.53,G06032
411839167,78.9198,16.2787,10.82,G06165;G06062;G06058;G06032;G06142;20SECONDTARGET
411930845,79.413,17.7145,10.29,G06032
437856897,83.8659,21.2942,8.65,G06165;G06200;G06194;G06032;G06203;G06142;20SECONDTARGET
52420398,83.9684,12.9259,11.66,G06032
52517713,84.1642,14.9145,13.28,G06032
6853696,81.6423,21.5992,13.45,G06032
91869778,88.8417,15.3784,10.95,G06032
92013169,89.1653,14.7855,9.74,G06032
206906112,97.2149,11.5319,10.64,G06148;G06032
229210014,92.3258,11.4114,12.82,G06032
229285649,98.0242,11.8523,10.77,G06032
306902029,98.0394,17.3805,10.44,G06032
307809773,99.2897,17.5671,7.9,G06124;G06200;G06058;G06155;G06032;20SECONDTARGET
319968129,95.3059,20.8785,10.39,G06032
430093142,96.3195,20.5358,12.85,G06032
437893926,94.018,15.2707,12.44,G06032
437984134,94.5453,15.952,8.16,G06032
438057373,95.1827,14.7836,13.24,G06032
438073782,95.635,14.0176,11.44,G06032
438149332,96.0006,14.0129,13.04,G06032
438519486,100.6546,15.6573,12.56,G06148;G06032
45368525,92.3191,20.2737,12.76,G06032
47132480,97.6212,19.8618,11.77,G06032
172033454,97.6193,31.8805,9.45,G06200;G06032;20SECONDTARGET
284326455,99.898,25.4823,12.23,G06165;G06058;G06155;G06032;20SECONDTARGET
400381085,91.7472,30.1894,12.41,G06032
430099722,96.2346,23.6578,12.8,G06032
81178747,91.7963,27.622,12.91,G06032
84339983,100.848,27.2521,10.51,G06062;G06165;G06058;G06032;G06142;G06203;20SECONDTARGET
84599716,96.6792,25.205,11.79,G06058;G06032
86396382,97.6366,29.6722,11.1,G06062;G06165;G06058;G06057;G06032;G06142;20SECONDTARGET
86898676,98.5951,24.2356,11.44,G06032
87405719,103.0102,25.2009,12.93,G06148;G06032
97735908,92.6641,30.9571,8.22,G06062;G06200;G06058;G06194;G06032;G06142;20SECONDTARGET
101569583,107.9072,28.9239,12.62,G06032
257241363,112.018,30.3214,8.26,G06200;G06032;G06057;20SECONDTARGET
