TICID,RA,Dec,Tmag,Keywords
435188154,349.6098,13.6404,11.33,G05112;20SECONDTARGET
435190370,349.8236,13.6127,11.81,G05112;20SECONDTARGET
435197458,350.4445,13.3509,11.2,G05112;20SECONDTARGET
435199499,350.5411,15.292,11.99,G05112;20SECONDTARGET
435202935,350.7257,14.9221,11.49,G05112;20SECONDTARGET
435205027,350.8801,16.9149,10.82,G05112;20SECONDTARGET
435209032,351.222,16.4566,11.99,G05112;20SECONDTARGET
435230221,351.3963,16.4387,11.79,G05112;20SECONDTARGET
435230412,351.3311,17.0619,11.11,G05112;20SECONDTARGET
435230912,351.4567,17.0894,11.62,G05112;20SECONDTARGET
435235994,351.8968,14.7411,9.4,G05112;20SECONDTARGET
435241893,352.4428,14.9255,11.41,G05112;20SECONDTARGET
435244705,352.5836,13.9257,11.64,G05112;20SECONDTARGET
435245213,352.6612,15.9797,11.79,G05112;20SECONDTARGET
435246348,352.8024,15.7216,11.67,G05112;20SECONDTARGET
435246596,352.7126,14.641,10.37,G05112;20SECONDTARGET
435246688,352.7374,14.2691,11.31,G05112;20SECONDTARGET
435247611,352.8885,13.3815,11.45,G05112;20SECONDTARGET
435247648,352.9021,13.5257,11.72,G05112;20SECONDTARGET
435247872,352.9065,14.4247,9.38,G05112;20SECONDTARGET
435248237,352.8555,15.8988,9.38,G05112;20SECONDTARGET
435249741,353.0111,13.8163,11.98,G05112;20SECONDTARGET
435250500,353.1173,13.3332,9.33,G05112;20SECONDTARGET
435250778,353.1333,14.3793,11.93,G05112;20SECONDTARGET
435254004,353.349,15.697,10.34,G05112;20SECONDTARGET
60837531,353.9201,16.0792,11.79,G05112;20SECONDTARGET
60837585,353.892,15.873,11.3,G05112;20SECONDTARGET
97168477,347.9197,13.7682,11.69,G05112;20SECONDTARGET
97171197,348.0329,13.605,10.63,G05112;20SECONDTARGET
97171287,347.9956,13.3032,11.74,G05112;20SECONDTARGET
97171308,347.99,13.2277,11.44,G05112;20SECONDTARGET
97172056,348.1994,13.2086,11.39,G05112;20SECONDTARGET
97175061,348.2773,13.1454,11.08,G05112;20SECONDTARGET
97186629,348.4079,14.1677,11.92,G05112;20SECONDTARGET
97187003,348.3943,15.2726,11.29,G05112;20SECONDTARGET
97189788,348.6751,12.0055,11.89,G05112;20SECONDTARGET
97249612,348.8417,13.3086,11.04,G05112;20SECONDTARGET
97249935,348.7912,12.2812,11.84,G05112;20SECONDTARGET
97259386,348.9771,14.6417,11.46,G05112;20SECONDTARGET
97260506,349.1235,13.3282,11.81,G05112;20SECONDTARGET
119960722,334.1958,40.7342,11.81,G05112;20SECONDTARGET
119991662,334.3305,40.6843,11.5,G05112;20SECONDTARGET
119994380,334.3948,41.0971,10.11,G05112;20SECONDTARGET
119995064,334.4689,40.5685,11.85,G05112;20SECONDTARGET
119995163,334.368,40.499,11.09,G05112;20SECONDTARGET
120059813,334.759,39.1036,9.23,G05112;20SECONDTARGET
120113428,334.8076,38.4996,11.23,G05112;20SECONDTARGET
120185431,335.0622,39.5086,11.65,G05112;20SECONDTARGET
120186874,335.0766,38.2287,11.48,G05112;20SECONDTARGET
120236123,335.301,38.3063,11.49,G05112;20SECONDTARGET
120286457,335.4311,38.7845,11.91,G05112;20SECONDTARGET
120286820,335.4417,39.106,11.09,G05112;20SECONDTARGET
120293718,335.6202,39.1548,11.99,G05112;20SECONDTARGET
120347131,335.7197,39.1101,10.27,G05112;20SECONDTARGET
2003753064,334.9059,38.3761,11.28,G05112;20SECONDTARGET
314932321,336.1518,38.5654,11.55,G05112;20SECONDTARGET
330666311,329.4179,45.3748,11.84,G05112;20SECONDTARGET
330823878,329.0147,45.1554,11.92,G05112;20SECONDTARGET
330901497,329.7423,45.4029,11.85,G05112;20SECONDTARGET
331346980,330.2144,45.3689,10.96,G05112;20SECONDTARGET
331348962,330.1799,46.0002,11.6,G05112;20SECONDTARGET
331456271,330.3919,45.4637,10.36,G05112;20SECONDTARGET
407847733,336.7978,38.335,11.57,G05112;20SECONDTARGET
407905134,336.9374,38.5132,11.72,G05112;20SECONDTARGET
407910627,337.188,38.9746,10.32,G05112;20SECONDTARGET
372045743,330.7039,37.7022,11.8,G05112;20SECONDTARGET
430316248,325.1592,33.6893,11.15,G05112;20SECONDTARGET
430322824,325.2371,35.8961,9.88,G05112;20SECONDTARGET
468373209,324.9824,33.3668,11.72,G05112;20SECONDTARGET
162296039,331.5987,31.8856,11.41,G05112;20SECONDTARGET
162331033,331.8957,31.7127,11.97,G05112;20SECONDTARGET
162461236,332.3304,31.6802,11.84,G05112;20SECONDTARGET
162464807,332.4987,31.7167,9.6,G05112;20SECONDTARGET
20576121,335.3728,24.1284,11.62,G05112;20SECONDTARGET
20639959,335.6145,25.1031,11.8,G05112;20SECONDTARGET
20664194,335.7179,24.4071,11.83,G05112;20SECONDTARGET
26688362,331.7047,26.4559,11.43,G05112;20SECONDTARGET
26759298,331.9747,27.0629,10.57,G05112;20SECONDTARGET
279745875,328.9527,23.671,11.89,G05112;20SECONDTARGET
28003100,333.6483,24.7743,11.6,G05112;20SECONDTARGET
28057371,333.9725,24.8968,11.31,G05112;20SECONDTARGET
28110323,334.3425,24.9321,11.93,G05112;20SECONDTARGET
28220164,335.171,25.0081,11.52,G05112;20SECONDTARGET
430852269,331.7979,35.221,10.95,G05112;20SECONDTARGET
430856223,331.7113,31.6268,11.79,G05112;20SECONDTARGET
100674824,341.2898,31.0363,10.68,G05112;20SECONDTARGET
100730288,341.4392,31.2863,11.38,G05112;20SECONDTARGET
100773842,341.86,35.5446,11.61,G05112;20SECONDTARGET
100801723,342.034,30.3233,10.51,G05112;20SECONDTARGET
100911100,348.1394,30.8145,11.14,G05112;20SECONDTARGET
100911103,348.1395,30.8184,11.19,G05112;20SECONDTARGET
100969582,348.5099,30.9237,10.83,G05112;20SECONDTARGET
10551067,340.124,32.3202,11.87,G05112;20SECONDTARGET
10591414,340.3181,32.9626,11.72,G05112;20SECONDTARGET
10596267,340.3936,32.9386,11.41,G05112;20SECONDTARGET
10596269,340.3942,32.9406,10.43,G05112;20SECONDTARGET
10665786,340.7802,32.4464,11.1,G05112;20SECONDTARGET
10680526,340.9478,32.8672,11.93,G05112;20SECONDTARGET
10680819,340.8238,32.5026,10.56,G05112;20SECONDTARGET
10684342,340.9711,32.2252,11.91,G05112;20SECONDTARGET
10684412,341.0538,32.3322,10.62,G05112;20SECONDTARGET
115685922,339.3574,34.784,11.96,G05112;20SECONDTARGET
115686342,339.3271,34.2738,11.41,G05112;20SECONDTARGET
115736719,339.4323,34.4889,10.9,G05112;20SECONDTARGET
115739819,339.6033,33.8579,11.41,G05112;20SECONDTARGET
115774523,339.8435,34.3593,11.51,G05112;20SECONDTARGET
115779465,339.9956,32.3065,10.97,G05112;20SECONDTARGET
239541449,341.7708,29.8519,10.94,G05112;20SECONDTARGET
239648124,338.9084,33.8701,11.11,G05112;20SECONDTARGET
239648536,338.8543,34.4922,11.02,G05112;20SECONDTARGET
239652051,342.2755,31.7445,9.69,G05112;20SECONDTARGET
239652209,342.3296,31.4663,11.71,G05112;20SECONDTARGET
418960381,345.0311,36.9332,8.81,G05112;20SECONDTARGET
427911819,345.2756,36.8618,10.33,G05112;20SECONDTARGET
431362447,339.0331,33.6086,11.99,G05112;20SECONDTARGET
436756514,345.1585,29.586,11.82,G05112;20SECONDTARGET
436767431,345.6432,29.8051,8.03,G05112;20SECONDTARGET
44042338,344.5089,30.006,9.9,G05112;20SECONDTARGET
44042454,344.7237,30.1063,11.92,G05112;20SECONDTARGET
44042474,344.64,30.1319,11.99,G05112;20SECONDTARGET
44163203,345.3519,29.9129,10.94,G05112;20SECONDTARGET
44226325,345.6455,30.5168,11.66,G05112;20SECONDTARGET
44299907,343.8218,27.7663,11.06,G05112;20SECONDTARGET
44344656,343.9986,27.7786,11.18,G05112;20SECONDTARGET
136161719,317.1609,42.634,12.0,G05112;20SECONDTARGET
136162157,317.1601,42.5373,8.79,G05112;20SECONDTARGET
165242912,316.398,41.9408,11.99,G05112;20SECONDTARGET
240219033,300.5729,45.7839,9.71,G05112;20SECONDTARGET
240219623,300.6401,46.0076,10.88,G05112;20SECONDTARGET
272891725,315.9069,42.7008,11.43,G05112;20SECONDTARGET
273926716,316.2827,42.3367,11.92,G05112;20SECONDTARGET
274039885,316.4467,42.6713,9.47,G05112;20SECONDTARGET
233949518,305.3453,59.5563,11.78,G05112;20SECONDTARGET
233949554,305.3253,59.5325,11.61,G05112;20SECONDTARGET
236868236,302.5683,60.1653,10.71,G05112;20SECONDTARGET
236880225,303.1766,60.9286,11.95,G05112;20SECONDTARGET
236882239,303.2223,60.3793,11.44,G05112;20SECONDTARGET
236893308,303.5792,61.008,11.99,G05112;20SECONDTARGET
236894676,303.5922,60.0502,11.45,G05112;20SECONDTARGET
236899387,303.7956,63.5217,9.58,G05112;G05121;20SECONDTARGET
236907360,304.131,60.6578,11.48,G05112;20SECONDTARGET
236932691,304.2877,63.6297,10.65,G05112;20SECONDTARGET
236933024,304.3769,63.9203,11.46,G05112;20SECONDTARGET
236991886,305.7681,60.4211,11.01,G05112;20SECONDTARGET
256869889,301.9473,60.5354,11.72,G05112;20SECONDTARGET
256934665,302.3453,60.6912,9.86,G05112;20SECONDTARGET
276986337,309.6863,59.8537,11.7,G05112;20SECONDTARGET
359982005,300.466,66.6457,11.57,G05112;20SECONDTARGET
365051213,305.6193,59.4939,11.93,G05112;20SECONDTARGET
387809195,315.0172,70.6684,8.22,G05112;20SECONDTARGET
387876908,316.0732,69.7877,10.91,G05112;G05106;20SECONDTARGET
387953412,316.7369,69.675,7.5,G05144;G05112;20SECONDTARGET
387953763,316.8741,69.8409,11.28,G05112;20SECONDTARGET
388036828,317.3377,69.8624,11.33,G05112;20SECONDTARGET
1883163023,294.8498,51.4166,11.88,G05112;20SECONDTARGET
233409388,302.0137,59.0835,11.5,G05112;20SECONDTARGET
26419217,291.5377,49.4749,10.22,G05112;20SECONDTARGET
264506118,298.6424,49.3933,9.76,G05112;20SECONDTARGET
26541975,291.9991,49.9218,11.01,G05112;20SECONDTARGET
26582627,292.0535,50.0283,11.33,G05112;20SECONDTARGET
26665640,292.7585,50.4716,11.79,G05112;20SECONDTARGET
26753965,292.9348,50.2578,11.07,G05112;20SECONDTARGET
267576040,284.5146,52.135,11.79,G05112;20SECONDTARGET
267672349,289.9367,50.7076,10.85,G05112;20SECONDTARGET
267672441,289.9642,50.7922,11.67,G05112;20SECONDTARGET
267672563,289.9213,50.8935,11.48,G05112;20SECONDTARGET
267673296,289.8382,51.5129,10.4,G05112;20SECONDTARGET
267674435,289.8841,52.5527,11.88,G05112;20SECONDTARGET
26811915,293.2524,51.0871,10.92,G05112;20SECONDTARGET
26812763,293.2102,50.422,9.45,G05112;20SECONDTARGET
26819478,293.3647,49.9315,10.68,G05112;20SECONDTARGET
269357916,299.8539,47.3149,11.88,G05112;20SECONDTARGET
26965569,293.7651,50.7438,10.79,G05112;20SECONDTARGET
27004491,293.9053,51.7513,11.71,G05112;20SECONDTARGET
27076023,294.0168,52.6477,10.82,G05143;G05106;G05112;20SECONDTARGET
27080284,294.3207,51.7907,11.39,G05112;20SECONDTARGET
27080949,294.265,51.3331,11.78,G05112;20SECONDTARGET
27188817,294.5218,50.7959,11.32,G05112;20SECONDTARGET
27190019,294.5008,51.5643,11.75,G05112;20SECONDTARGET
272280783,296.4329,47.8124,11.52,G05112;20SECONDTARGET
27229657,294.603,52.0829,10.92,G05112;20SECONDTARGET
272599063,296.6876,47.8356,10.22,G05112;20SECONDTARGET
273047132,297.1756,47.7847,11.86,G05112;20SECONDTARGET
273047339,297.1472,47.8713,11.66,G05112;20SECONDTARGET
27312226,294.7663,52.6747,11.13,G05112;20SECONDTARGET
27315684,295.0422,52.5766,11.74,G05112;20SECONDTARGET
27390487,295.0337,49.3849,11.24,G05112;20SECONDTARGET
27396901,295.2162,49.9593,11.82,G05112;20SECONDTARGET
27397138,295.1856,50.0934,11.49,G05112;20SECONDTARGET
27454012,295.4293,51.2265,8.8,G05112;20SECONDTARGET
27456108,295.2879,49.933,11.82,G05112;20SECONDTARGET
27533798,295.4841,50.7961,10.9,G05112;20SECONDTARGET
27637468,295.7727,52.0479,10.97,G05112;20SECONDTARGET
27641668,295.6756,49.7232,11.31,G05112;20SECONDTARGET
27642606,295.7434,49.24,11.85,G05112;20SECONDTARGET
27644506,295.7529,48.3089,11.42,G05112;20SECONDTARGET
27648550,295.9263,49.4425,10.38,G05112;20SECONDTARGET
27649333,295.8955,49.8553,11.44,G05112;20SECONDTARGET
27686143,295.8419,50.6956,10.67,G05112;20SECONDTARGET
27694703,296.086,51.5798,9.9,G05112;20SECONDTARGET
27767691,296.1559,49.9882,11.57,G05112;20SECONDTARGET
27770843,296.1283,48.4205,11.87,G05112;20SECONDTARGET
27844723,296.3791,50.7749,8.24,G05112;20SECONDTARGET
27846256,296.442,49.9882,9.15,G05112;20SECONDTARGET
