# TESS Program G04138

Title: Long-Period Transit Follow-Up Of Kepler M-Dwarfs & Friends

PI: Safron, Emily - Louisiana State University

Type: SMALL

Summary: Planet Hunters (PH) and PH TESS have proven successful at crowd-sourcing visual inspection of Kepler and TESS light curves to detect long-period exoplanet (LPE) candidates that would be invisible to traditional automated searches. With PH classification of all Kepler M-dwarf light curves completed, we seek 2-minute cadence TESS observations of 4110 of these targets and 62 other known LPE candidate hosts in the Kepler field to create light curves to be injected into the PH TESS interface. With a specialized pipeline that includes an injection/recovery study, we will 1) identify new LPE candidates, 2) refine properties of previously reported candidates in the sample, and 3) constrain the occurrence rates of LPEs around M-dwarfs with a unique methodology.


# Sector 040 targets observed (2 min: 800, 20 s: 0)
122706307,290.965,40.0373,13.58,G04138
122713601,291.0871,40.2179,14.94,G04138
122715804,291.1727,39.2991,14.82,G04138
123357893,281.5828,47.2334,13.81,G04231;G04138
123413256,281.9123,46.4868,13.35,G04209;G04138
123417316,282.1857,44.4345,12.95,G04231;G04098;G04138
123417850,282.2501,44.921,15.08,G04242;G04138
123449386,282.3775,44.6946,13.83,G04231;G04242;G04138
137089954,291.2851,40.73,14.91,G04242;G04138
137091090,291.1866,40.1517,14.81,G04138
137093270,291.1928,39.1569,13.57,G04138
137093685,291.2527,38.9745,15.27,G04138
137152193,291.3542,39.032,16.07,G04138
137155328,291.3648,40.3978,14.73,G04138
137155551,291.3461,40.4974,14.6,G04138
137215153,291.4984,40.1828,13.45,G04231;G04138
137216962,291.4866,39.4053,15.55,G04138
137217774,291.4917,39.0674,14.97,G04138
137320197,291.7038,39.3158,14.73,G04138
137402379,291.9306,38.9692,15.06,G04138
137402527,291.9533,39.0223,13.51,G04138
137402611,291.9362,39.0563,14.6,G04138
137402729,291.9322,39.0982,14.39,G04138
137402735,292.049,39.0994,14.7,G04138
137402956,292.0107,39.188,16.74,G04138
137404202,291.9706,39.7106,13.1,G04138
137410897,292.0743,41.0701,12.81,G04138
137410978,292.2221,41.0322,13.24,G04138
137414620,292.0749,39.5215,14.13,G04138
137414887,292.223,39.4233,14.43,G04138
137482663,292.1539,39.2168,14.75,G04138
137552677,292.235,39.5174,13.11,G04138
137556042,292.2971,40.8459,14.89,G04138
137556951,292.3217,41.2236,16.5,G04138
137557162,292.3679,41.3157,14.19,G04138
137557386,292.2675,41.4064,14.54,G04138
137557607,292.2857,41.497,13.41,G04138
137559143,292.4298,41.6721,15.97,G04138
137628504,292.5202,40.7172,15.11,G04138
137632048,292.4199,39.3358,14.02,G04138
137632452,292.3955,39.1937,14.59,G04138
137689252,292.5771,39.121,14.76,G04138
137689290,292.5336,39.1345,13.87,G04138
137757261,292.5707,41.7348,15.27,G04138
137757316,292.5526,41.7602,14.92,G04138
137758161,292.7016,41.7127,15.29,G04138
137759349,292.6832,41.2147,13.96,G04138
137759453,292.7881,41.1696,14.36,G04138
137759529,292.7981,41.1374,11.35,G04138
137760435,292.7396,40.7364,12.97,G04231;G04138
137899226,292.8852,40.7702,14.57,G04138
137899545,292.9594,40.9032,14.52,G04138
137899948,292.8729,41.0641,14.98,G04226;G04138
137900092,292.8897,41.1161,14.68,G04138
137901938,292.9053,41.8864,16.64,G04138
137968419,293.0428,41.202,14.65,G04138
137968966,292.9868,40.9777,14.28,G04138
137971431,293.0738,39.9544,14.73,G04138
137972488,293.0334,39.5516,14.09,G04138
138040766,293.2263,39.2102,14.62,G04138
138040972,293.194,39.2882,14.19,G04138
138041508,293.1732,39.4781,13.56,G04138
138041524,293.1268,39.4839,16.17,G04138
138096363,293.174,41.1168,15.83,G04138
138096770,293.1618,41.285,14.78,G04138
138097564,293.1741,41.6312,16.08,G04138
138097836,293.2022,41.7468,15.28,G04138
138098258,293.2449,41.9447,14.31,G04138
138098583,293.3033,41.8148,14.08,G04138
138100596,293.319,40.9611,13.46,G04138
138103820,293.3213,39.7091,14.85,G04138
138104664,293.3363,39.3907,14.92,G04138
138214378,293.4837,39.3175,15.82,G04138
138215838,293.4596,39.8147,14.26,G04138
138216838,293.4861,40.182,14.02,G04138
138219685,293.4998,41.2436,15.0,G04138
138219695,293.5496,41.2475,16.36,G04138
138219932,293.5063,41.3502,13.36,G04138
138219944,293.4246,41.3552,15.6,G04138
138222062,293.6414,41.6231,14.41,G04138
138296722,293.649,41.4518,13.78,G04138
138297309,293.6701,41.2239,14.09,G04138
138299487,293.5822,40.3871,14.64,G04138
138301445,293.5879,39.6795,16.34,G04138
138302255,293.5766,39.3868,14.95,G04138
138303322,293.6178,39.0274,14.84,G04138
138303340,293.6188,39.0225,13.2,G04231;G04138
138423262,293.8241,39.365,14.21,G04138
138424120,293.7415,39.6519,15.16,G04138
138425272,293.8578,40.0617,14.52,G04138
138428542,293.8476,41.2926,13.43,G04138
138428640,293.7308,41.3288,14.4,G04138
138429274,293.7676,41.5632,14.96,G04138
138429819,293.7426,41.7898,14.42,G04138
138431713,293.9507,41.3129,15.41,G04138
138436033,293.8945,39.7326,14.9,G04138
138478685,293.9625,39.1773,16.12,G04138
138571654,294.098,39.234,15.5,G04138
138572205,294.0825,39.3991,14.97,G04138
138572807,294.0479,39.5938,14.31,G04138
138575854,294.0955,40.6155,14.56,G04138
138637018,294.1482,41.5454,14.87,G04138
138637905,294.0282,41.9002,15.2,G04138
138637979,294.0227,41.9399,14.66,G04138
138638405,294.2812,41.7757,15.32,G04138
138643015,294.2339,40.0425,13.96,G04138
138643066,294.2973,40.0246,15.75,G04138
138643448,294.2094,39.8932,14.55,G04138
138644091,294.2283,39.6696,14.15,G04138
138644423,294.2625,39.5489,14.66,G04138
138644639,294.2136,39.4812,14.64,G04138
138645754,294.2823,39.1189,14.76,G04138
138645819,294.312,39.1009,14.09,G04138
138645985,294.3158,39.0473,14.39,G04138
138725759,294.7859,40.7707,14.94,G04138
138726758,294.8015,40.4285,14.73,G04138
138726817,294.8372,40.4026,16.3,G04138
138804529,294.8166,39.5035,14.7,G04138
138891897,294.9644,39.4699,14.2,G04138
138893188,295.0706,39.8688,15.21,G04138
138960339,294.9406,40.2146,16.09,G04138
138960534,294.9467,40.2672,14.71,G04138
138960621,294.9501,40.2902,14.29,G04138
138961796,294.9749,40.6569,14.15,G04138
138962678,295.0305,40.9581,12.61,G04138
138970136,295.0918,40.3102,15.39,G04138
138971650,295.0786,39.8878,14.39,G04138
138973341,295.184,39.3845,14.68,G04138
139034088,295.1897,39.356,13.96,G04138
139034365,295.1175,39.2742,14.61,G04138
139154499,295.2484,40.2683,14.25,G04138
139156473,295.3285,40.8694,14.66,G04138
139156778,295.2341,40.9357,14.85,G04138
139157437,295.2519,41.0364,16.42,G04138
139157560,295.3493,41.0518,14.31,G04138
158427808,287.2621,42.0322,14.71,G04242;G04138
158489095,287.347,47.7729,13.21,G04242;G04138
158489110,287.3641,47.7853,13.03,G04242;G04138
158552258,287.5265,42.913,14.42,G04242;G04138
158664221,288.2506,46.6794,15.23,G04242;G04138
158935823,289.0715,46.38,14.29,G04138
158983792,289.072,47.4069,13.49,G04059;G04242;G04138
159384370,290.3882,44.469,13.17,G04231;G04138
159643660,291.2268,47.55,14.93,G04242;G04138
164406849,282.7982,47.4773,11.48,G04231;G04138
164522394,283.2568,45.0876,12.82,G04231;G04242;G04138
164527141,283.5555,45.6144,14.82,G04242;G04138
164555597,283.7316,45.9584,13.97,G04242;G04138
164557035,283.7407,47.5161,13.78,G04242;G04138
164670606,284.1393,45.23,12.35,G04234;G04138
164785720,284.7549,44.9561,13.51,G04231;G04138
164832454,284.922,45.9723,13.36,G04059;G04242;G04138
184008534,295.375,40.9419,14.47,G04138
237189544,283.4018,41.5161,14.34,G04242;G04138
