# TESS Program G04211

Title: Constraining The Low-Mass End Of The Stellar Mass Function With TESS

PI: Marocco, Federico - California Institute Of Technology

Type: SMALL

Summary: We will constrain the functional form of the low-mass end of the stellar mass function using TESS 2-min cadence data for 2666 objects within 20 pc of the Sun, 679 of which are the targets of this proposal. The light curves will be used to search for overlooked stellar and substellar companions through identification and analysis of eclipsing binaries, transiting companions, and composite light curves. By including the 679 objects proposed here to the list of 2-min cadence targets, TESS will provide 2-min cadence data for ~74% of objects within 20 pc of the Sun.


# Sector 040 targets observed (2 min: 57, 20 s: 16)
278962913,39.0745,6.8804,9.02,G04214;G04033;G04211;G04148;G04191;20SECONDTARGET
387422624,41.5736,11.774,7.35,G04211;G04191
387585453,44.3901,10.7876,10.68,G04214;G04211
415339665,58.8484,11.5594,18.31,G04211
434136638,55.9395,16.6654,8.87,G04059;G04211;G04039;G04191;G04006
434136640,55.97,16.6701,8.27,G04142;G04211;G04191;G04039;G04006;20SECONDTARGET
435308534,54.39,17.8539,10.56,G04240;G04236;G04186;G04211
640359888,58.1723,17.018,19.61,G04211
67827103,56.1478,18.4293,14.8,G04200;G04137;G04211;G04147
348769612,58.6906,24.2722,12.78,G04033;G04214;G04211;G04148;20SECONDTARGET
35025268,48.5541,28.6731,13.02,G04033;G04214;G04211;G04148;G04178;20SECONDTARGET
427580415,54.8746,24.9686,10.37,G04214;G04211;G04039;G04191
427580418,54.971,24.9573,15.76,G04211

# Sector 043 targets observed (2 min: 90, 20 s: 25)
336892484,17.984,4.9149,10.44,G04139;G04214;G04211;20SECONDTARGET
346896171,24.2411,9.5631,18.07,G04211
369534824,25.8315,4.317,8.76,G04214;G04211;G04191
380887434,19.4724,5.4701,9.17,G04211;G04006
610972151,17.9885,4.9013,19.85,G04211
630426268,20.6868,0.5324,12.83,G04186;G04211
268126668,11.3415,16.5788,16.68,G04211
336777483,14.1642,17.4579,11.02,G04214;G04211;G04191
336813693,17.8571,15.4386,11.01,G04211;G04188
471012297,15.8139,20.0985,10.53,G04211
293282576,4.234,5.1202,11.06,G04214;G04211;G04191
318708202,8.7149,5.3847,15.86,G04211
357353518,1.8378,12.5045,15.74,G04200;G04137;G04211
403027164,4.5691,10.2026,8.93,G04211;G04039;G04191;G04006
408516077,8.988,10.4742,12.11,G04033;G04214;G04211;G04148;20SECONDTARGET
52005579,3.959,13.5582,10.18,G04033;G04214;G04211;G04148;G04191;20SECONDTARGET
212954637,8.5122,-0.8741,17.25,G04211
244167275,6.1022,-1.9714,15.05,G04081;G04211
257219223,12.2987,5.3722,11.99,G04200;G04137;G04211;20SECONDTARGET
257393898,12.1003,5.2737,4.9,G04059;G04211;G04191;G04147
344631411,14.4353,5.8557,8.62,G04211;G04039;G04191;G04006;G04147
40104085,7.8997,-5.8767,10.31,G04033;G04214;G04211;G04148;G04191;20SECONDTARGET
257870150,43.2754,16.8583,10.56,G04214;G04186;G04211;G04098;G04148;G04191
333624314,48.5133,16.0513,15.69,G04211
387422624,41.5736,11.774,7.35,G04211;G04191
387585453,44.3902,10.7876,10.68,G04214;G04211
247042708,38.9737,20.219,8.6,G04211;G04039;G04191;G04006
247372926,40.8399,19.4292,7.17,G04236;G04211
408777481,37.6051,16.8045,13.84,G04214;G04211
620302393,38.4042,24.9269,16.74,G04211
113710966,25.6221,20.2644,4.49,G04222;G04104;G04211;G04191;20SECONDTARGET
456933791,27.0188,21.2054,9.96,G04214;G04006;G04211
60987924,29.5649,18.1208,14.03,G04214;G04211
88756273,26.2389,16.3417,11.31,G04214;G04211;G04191
91305824,27.8507,21.3922,11.18,G04214;G04211;G04188;G04039
278962913,39.0746,6.8804,9.02,G04214;G04033;G04211;G04148;G04191;20SECONDTARGET
337077125,33.1927,10.5478,13.55,G04214;G04211;G04148
337134557,33.9875,10.255,12.49,G04214;G04211
347509900,30.5635,10.3355,11.88,G04033;G04148;G04211;G04214;20SECONDTARGET
347509984,30.6172,10.5809,10.67,G04033;G04211;20SECONDTARGET
408587159,34.1275,13.5843,11.99,G04033;G04147;G04148;G04211;G04214;20SECONDTARGET
420001446,35.1936,2.9753,11.83,G04240;G04214;G04211;G04234;G04039
422844595,36.9419,4.433,7.2,G04211
15736408,61.3355,22.0081,5.33,G04104;G04211;G04191;20SECONDTARGET
348769612,58.6906,24.2722,12.78,G04033;G04214;G04211;G04148;20SECONDTARGET
35025268,48.5541,28.6731,13.02,G04033;G04214;G04211;G04148;G04178;20SECONDTARGET
427580415,54.8746,24.9686,10.37,G04214;G04211;G04039;G04191
415339665,58.8484,11.5594,18.31,G04211
434136638,55.9395,16.6654,8.87,G04059;G04211;G04039;G04191;G04006
434136640,55.97,16.6701,8.27,G04142;G04211;G04191;G04039;G04006;20SECONDTARGET
435308534,54.39,17.8539,10.56,G04240;G04236;G04186;G04211
640359888,58.1723,17.018,19.61,G04211
67827103,56.1478,18.4292,14.8,G04200;G04137;G04211;G04147
118449589,68.6564,19.101,12.53,G04214;G04211
118820774,70.327,20.9,6.84,G04211;G04191
17558287,67.2501,21.9238,6.87,G04211;G04191;G04147
18685916,72.7163,22.1201,11.87,G04033;G04214;G04211;G04148;G04147;20SECONDTARGET
245914064,69.8813,16.2571,12.05,G04033;G04214;G04211;G04148;20SECONDTARGET
397354290,70.7366,18.9514,7.88,G04142;G04211;G04098;G04191;20SECONDTARGET
397356212,70.733,21.4738,9.5,G04214;G04186;G04211;G04039;G04191;G04006
60878053,66.4733,12.1953,14.93,G04200;G04137;G04211
61258139,68.3945,20.7441,11.52,G04033;G04214;G04211;G04148;20SECONDTARGET
673682885,67.6044,17.4963,19.75,G04211
125838647,69.2026,27.1313,7.03,G04219;G04222;G04236;G04240;G04211;G04191;G04209;20SECONDTARGET
125979876,71.1092,27.8597,9.24,G04211;G04191;G04006
427771901,69.1902,27.1663,17.25,G04211
467729221,62.1597,33.6378,8.34,G04211;G04191;G04006
58475730,65.7472,25.9858,11.36,G04214;G04211
366884477,77.2278,33.3205,17.74,G04211
69850453,77.5822,27.23,13.2,G04214;G04211;G04148
75326630,85.1079,24.8,11.08,G04222;G04033;G04211;20SECONDTARGET
27136704,76.8659,18.6452,4.3,G04211;G04103
27137427,76.9556,17.9811,9.61,G04033;G04236;G04211;20SECONDTARGET
293769522,77.2924,15.4553,10.28,G04236;G04211;G04188;G04191
302608073,82.3583,15.5785,11.94,G04214;G04211
412253688,80.4496,17.3437,11.84,G04214;G04211;G04039
467611768,78.1777,19.6671,8.71,G04211;G04039;G04191;G04006
47345026,80.9115,17.3241,6.86,G04211
47346402,81.1077,17.3835,4.49,G04220;G04104;G04236;G04211;G04191;20SECONDTARGET
52373734,83.7164,13.8772,9.38,G04214;G04211;G04191
69051805,75.3247,22.6148,12.1,G04033;G04214;G04211;G04148;G04147;20SECONDTARGET
114776214,88.5945,20.2757,3.85,G04104;G04211;G04191;20SECONDTARGET
307809773,99.2902,17.5669,7.9,G04211;G04191
415563103,91.6679,15.5415,6.01,G04211;G04191
430044614,96.1756,23.43,10.34,G04033;G04214;G04211;G04148;G04147;20SECONDTARGET
430173956,96.5419,18.756,5.86,G04211;G04148
430221473,96.642,20.5371,12.12,G04214;G04211
720287836,89.7234,21.3478,15.41,G04211
353436550,100.3168,23.956,7.09,G04211
81192866,91.9103,24.4977,18.25,G04211

# Sector 044 targets observed (2 min: 88, 20 s: 21)
415339665,58.8484,11.5594,18.31,G04211
434136638,55.9395,16.6654,8.87,G04059;G04211;G04039;G04191;G04006
434136640,55.97,16.6701,8.27,G04142;G04211;G04191;G04039;G04006;20SECONDTARGET
435308534,54.39,17.8539,10.56,G04240;G04236;G04186;G04211
640359888,58.1723,17.018,19.61,G04211
67827103,56.1478,18.4292,14.8,G04200;G04137;G04211;G04147
15736408,61.3355,22.0081,5.33,G04104;G04211;G04191;20SECONDTARGET
348769612,58.6906,24.2722,12.78,G04033;G04214;G04211;G04148;20SECONDTARGET
427580415,54.8746,24.9686,10.37,G04214;G04211;G04039;G04191
247042708,38.9737,20.219,8.6,G04211;G04039;G04191;G04006
247372926,40.84,19.4292,7.17,G04236;G04211
620302393,38.4042,24.9269,16.74,G04211
333624314,48.5133,16.0513,15.69,G04211
387422624,41.5736,11.774,7.35,G04211;G04191
387585453,44.3902,10.7876,10.68,G04214;G04211
114776214,88.5945,20.2757,3.85,G04104;G04211;G04191;20SECONDTARGET
302608073,82.3583,15.5785,11.94,G04214;G04211
412253688,80.4496,17.3437,11.84,G04214;G04211;G04039
467611768,78.1777,19.6671,8.71,G04211;G04039;G04191;G04006
47345026,80.9115,17.3241,6.86,G04211
47346402,81.1077,17.3835,4.49,G04220;G04104;G04236;G04211;G04191;20SECONDTARGET
52373734,83.7164,13.8772,9.38,G04214;G04211;G04191
366884477,77.2278,33.3204,17.74,G04211
69850453,77.5822,27.23,13.2,G04214;G04211;G04148
75326630,85.1079,24.8,11.08,G04222;G04033;G04211;20SECONDTARGET
77890492,88.2582,25.1278,10.06,G04214;G04236;G04186;G04211;G04039
125838647,69.2026,27.1313,7.03,G04219;G04222;G04236;G04240;G04211;G04191;G04209;20SECONDTARGET
125979876,71.1092,27.8596,9.24,G04211;G04191;G04006
427771901,69.1902,27.1663,17.25,G04211
58475730,65.7472,25.9858,11.36,G04214;G04211
118449589,68.6564,19.101,12.53,G04214;G04211
118820774,70.327,20.9,6.84,G04211;G04191
17558287,67.2501,21.9238,6.87,G04211;G04191;G04147
18685916,72.7163,22.1201,11.87,G04033;G04214;G04211;G04148;G04147;20SECONDTARGET
245914064,69.8813,16.2571,12.05,G04033;G04214;G04211;G04148;20SECONDTARGET
397354290,70.7366,18.9514,7.88,G04142;G04211;G04098;G04191;20SECONDTARGET
