# TESS Program G04178

Title: Identifying Habitable Zone Planets With TESS

PI: Pepper, Joshua - Lehigh University

Type: SMALL

Summary: While TESS is optimized to discover small planets orbiting nearby, bright stars, its observing strategy is not optimized to detect planets in the Habitable Zone (HZ). We have identified a small set of stars for which the prime mission TESS observations permit the observation of multiple transits of a planet within the star s HZ. We propose 2-minute observations of the subset of those stars that are observable in Cycle 4. These additional observations will permit the detection of smaller planets in the HZ, the detection of planets orbiting further out in the HZ, and improve the ability to follow-up and confirm HZ transit candidates.


# Sector 040 targets observed (2 min: 2544, 20 s: 118)
400475748,295.5914,58.816,11.99,G04178
406925457,287.3119,55.5778,12.61,G04178
406927285,287.4141,58.2158,14.34,G04178
406927364,287.349,58.3241,12.56,G04178
406927845,287.3329,59.0513,14.29,G04178
406929242,287.5509,58.6704,10.84,G04178
416195505,287.2077,57.8077,10.83,G04178
416196140,287.2497,56.9965,12.52,G04178
416401346,287.8951,58.5999,11.02,G04178
416401512,287.8119,58.3938,11.99,G04178
416401516,287.7918,58.3919,12.12,G04178
421334878,289.0186,58.5691,11.91,G04178
421335923,296.8288,59.7172,11.62,G04214;G04178
424461402,279.7354,60.092,11.49,G04178;G04191
424461674,279.6777,60.5525,13.86,G04178
424461841,279.8277,60.8344,14.09,G04178
424462265,279.8217,61.6084,11.69,G04178
424699508,294.3881,59.3939,14.4,G04178
424722673,294.5486,58.033,13.92,G04178
467180744,291.7424,59.7082,13.7,G04178
467183059,291.7582,56.9006,12.32,G04178
467188683,296.3116,56.2182,14.74,G04178
47578779,278.4038,52.6242,12.16,G04234;G04178
47579001,278.4768,52.257,12.94,G04214;G04178
47625274,278.8513,53.1973,12.28,G04178
47756004,280.0246,53.8493,12.78,G04178
47817344,280.1317,52.9078,12.96,G04178
47875078,280.44,53.0918,10.86,G04178;G04039
47973606,281.4603,52.4636,12.56,G04214;G04178
47974844,281.4647,50.7996,11.42,G04132;G04139;G04178;G04234;G04039;20SECONDTARGET
48020609,281.4879,53.3152,12.43,G04178
48088075,282.0631,53.6853,13.21,G04178
48135328,282.3176,52.6303,12.77,G04178
48357416,283.7461,52.3209,11.5,G04178
48415693,283.9241,53.7115,12.83,G04214;G04178
1551165177,272.2642,53.217,10.63,G04231;G04178
165471200,265.063,58.9031,11.66,G04214;G04178;G04039;G04006
165498437,265.1789,56.6828,12.65,G04178
165500708,265.7936,56.5653,11.85,G04178
165501015,265.7288,57.3595,12.58,G04178
165501942,265.8318,59.9898,11.19,G04178
165528645,266.0534,55.8322,13.67,G04178
165529661,266.119,58.3084,13.89,G04178
165529663,266.1132,58.3103,11.87,G04178
165530589,266.4503,58.8897,12.56,G04214;G04148;G04178
165549035,266.6557,54.9998,12.88,G04178
165550041,266.5083,57.6434,13.09,G04178
165550566,266.5411,59.1437,11.96,G04178
165551882,266.7678,57.2274,12.54,G04214;G04148;G04178;G04242;G04039
165554484,266.9067,56.8419,11.77,G04039;G04178
165555377,267.0615,59.3902,14.04,G04178
165555541,266.939,59.8887,13.03,G04178
188600399,258.1717,49.7613,13.55,G04178
188600743,258.1311,50.8146,12.62,G04178
188665043,259.5999,53.261,13.72,G04178
188667250,259.891,48.0725,13.18,G04178
188691615,260.1979,49.2486,11.76,G04214;G04178
188694544,260.5671,52.8006,13.29,G04214;G04178
188768962,261.2252,50.4407,12.06,G04214;G04178
188776869,262.0778,53.6208,12.48,G04214;G04178
188777430,261.9444,52.0042,12.71,G04234;G04178
188777432,261.9454,52.0025,12.41,G04178;G04214;G04234
188819782,262.6161,52.7181,13.11,G04214;G04234;G04178
188830425,263.5022,51.2828,11.22,G04178;G04039;G04191
188833961,263.5503,53.7739,12.02,G04178
198354123,256.0295,58.1191,12.15,G04178
198355178,256.0207,54.8468,11.92,G04039;G04178
198356514,256.1373,56.8153,14.06,G04178
198358201,256.4482,57.7594,12.71,G04178
198358449,256.3707,56.9087,13.29,G04178
198359735,256.6979,54.7367,11.46,G04178;G04191
198359767,256.7487,54.8551,14.66,G04178
198362099,256.7843,57.6088,11.86,G04178
198362741,256.9009,55.7189,14.65,G04178
198365827,257.2937,58.3718,12.52,G04178
198365980,257.1834,57.8836,12.86,G04178
198366297,257.2148,56.954,13.39,G04178
198382049,257.4871,56.2182,13.0,G04178
198383938,257.7741,58.0628,11.64,G04178
198383981,257.6633,57.9376,13.42,G04178
198385291,257.7585,54.1607,10.88,G04178;G04191
198385543,257.9548,54.5282,11.85,G04039;G04148;G04178;G04242
198386011,257.9072,55.8405,12.72,G04178
198388218,258.061,57.1378,9.75,G04178
198388382,258.1919,56.6723,12.7,G04178
198388593,258.0948,56.0311,12.6,G04178
198390247,258.223,57.1978,10.14,G04178;G04242;G04039;20SECONDTARGET
198390521,258.2856,58.004,13.66,G04178
198391767,258.4522,57.7755,11.84,G04214;G04178;G04039;G04006
198393987,258.6891,56.9338,14.18,G04178
198408455,259.0245,58.7242,11.82,G04178
198410955,259.029,56.1034,13.46,G04178
198413262,259.4126,56.6693,11.63,G04178
198413430,259.2603,56.2103,10.51,G04171;G04178
198414922,259.5766,55.9161,12.66,G04178
198416743,260.2258,57.4539,13.52,G04178
198418522,260.8427,56.3484,11.87,G04178
198418527,260.8635,56.3695,11.84,G04178
198418762,260.72,57.208,11.62,G04178;G04039
198419972,261.6544,55.4463,11.93,G04178
198459133,262.0895,56.4389,11.3,G04178;G04039
198459916,262.0593,59.0871,13.92,G04178
198479347,262.2719,57.7486,10.95,G04039;G04178;G04191
198479358,262.2165,57.7116,14.4,G04178
198479623,262.2149,56.9116,11.99,G04178
198479798,262.2828,56.3873,11.56,G04178;G04039
199712463,253.9698,56.7972,14.95,G04178
199712635,253.9169,57.4446,14.03,G04178
199714004,254.1422,57.2026,11.44,G04178
199714343,254.1343,55.9463,11.9,G04178;G04214
199714345,254.1327,55.9421,13.12,G04178
199715706,254.4593,56.6435,12.19,G04234;G04178
21002564,272.6991,53.5905,11.63,G04178;G04039
21100271,274.4476,53.7032,11.95,G04178
21100276,274.4512,53.7017,11.93,G04178
21100540,274.4482,53.5142,11.41,G04178
21100558,274.4349,53.5025,11.77,G04178
21124766,274.9167,52.8148,12.81,G04178
21152286,275.0643,53.8365,14.84,G04178
21162620,275.9224,52.62,13.11,G04214;G04178
219798240,265.4757,60.3028,13.37,G04178
219802852,265.9327,60.063,11.53,G04178
219803078,266.2378,60.3249,13.71,G04178
219807052,266.5483,60.4076,11.92,G04214;G04148;G04234;G04178;G04039;G04006
224597832,254.7048,57.4168,13.3,G04178
224598413,254.7945,55.6836,12.95,G04178
224602141,255.1883,56.3073,11.44,G04178;G04039;G04191
224602388,255.2998,55.5823,10.6,G04129;G04214;G04178;G04039;G04191;20SECONDTARGET
224607499,255.8352,56.7239,13.96,G04178
224607620,255.8912,57.1445,10.56,G04178;G04191
229683420,262.4276,57.025,13.82,G04178
229683574,262.4381,56.5279,14.79,G04178
229684154,262.5,54.8048,12.31,G04178
229685063,262.9184,57.9001,12.03,G04178
229685785,262.8242,55.7807,13.94,G04178
229686220,262.8232,54.5557,12.58,G04178
229687980,262.98,58.3387,14.33,G04171;G04178
229689279,263.1626,57.274,10.75,G04178;G04191
229689348,263.2352,57.0922,12.99,G04178
229690112,263.1957,54.9087,13.16,G04178
229690324,263.2204,54.3394,10.27,G04129;G04214;G04178;G04191;20SECONDTARGET
232617398,268.256,59.1,11.3,G04178
232617516,268.3149,58.7888,12.92,G04178
232617675,268.148,58.4452,13.98,G04178
232618367,268.2325,56.9033,10.98,G04129;G04178;G04039;G04191;G04006;20SECONDTARGET
232618847,268.274,55.8153,11.54,G04178
232619085,268.264,55.2567,12.24,G04178
232620850,268.3345,56.5263,9.13,G04178;G04191
232622782,268.5721,58.5841,11.78,G04178
232623570,268.6755,56.638,13.9,G04178
232626447,268.8647,57.6636,12.74,G04178
232627499,268.979,59.6855,13.98,G04178
232628654,269.0434,56.9503,11.98,G04178;G04039
232628922,269.0453,56.3674,12.21,G04178
232629466,268.9411,55.2311,13.16,G04178
232629531,269.1201,55.0886,13.96,G04178
232630507,269.1975,54.8744,11.4,G04039;G04178
232630730,269.3077,55.3829,13.53,G04178
232631278,269.1901,56.5595,15.18,G04178
232631358,269.2142,56.735,12.07,G04178
232633580,269.4785,57.6128,12.32,G04178
232634180,269.3979,56.2204,12.65,G04171;G04178
232634613,269.4196,55.2632,10.73,G04178
232634683,269.4958,55.102,10.05,G04171;G04178;G04234;G04191
233046489,268.4604,60.9852,11.86,G04178;G04039;G04006
233051196,268.9752,61.0237,11.77,G04178
233051394,268.9097,60.5014,10.01,G04129;G04178;G04039;G04191;G04006;20SECONDTARGET
233051855,269.1874,60.4464,12.68,G04178
233060935,269.8832,61.1117,12.58,G04178
233067489,270.5637,61.2523,11.85,G04214;G04178;G04039;G04006
233071535,270.8978,61.3559,10.12,G04178
233071822,270.8059,60.675,10.43,G04178;G04242;G04039
233072899,271.1529,61.4017,12.66,G04178
233082738,271.7624,60.2556,13.09,G04178
