# TESS Program G011278

Title: An Accurate Empirical Mass-Radius-Composition Relationship For M-Dwarfs

PI: Turner, Oliver - Universite De Geneve

Type: N/A

Summary: M-dwarfs are enticing targets for exoplanet surveys because the planets in the habitable zones of these stars have comparatively short orbits and are much easier to detect and characterize than planets around more massive stars. However, how well we can know these planets is related to how well we know their host stars. There are few well-characterised M-dwarfs that can be used to establish an empirical relation. As such, investigation of planets orbiting M-dwarfs will be frustrated. The low mass eclipsing binary (EBLM) program has measured the masses and, characterised over 200 binaries composed of F/G+M stars in a consistent manner and so stands to improve the situation. However, require a consistent set of lightcurves to measure their radii and establish such a relation.                


# Sector 001 targets observed (21)
151681127,166.8889,-40.2069,9.13,G011278;G011060
158450472,163.7766,-39.8446,12.02,G011278
178723395,166.1452,-43.2403,11.11,G011278
294191640,159.3643,-45.3633,12.03,G011278
35655828,148.7444,-45.2906,9.47,G011278
375477302,152.4206,-46.4984,11.97,G011278
72605231,151.7921,-40.4713,10.39,G011278
73723286,155.6371,-40.5164,9.09,G011278
151959065,168.9984,-36.4594,11.93,G011278
193271278,158.5787,-29.8154,10.34,G011278
23555025,169.0355,-32.6521,11.65,G011278
101395259,148.7203,-23.3321,10.18,G011278
167983141,152.1397,-29.5993,10.42,G011278
168312820,154.328,-25.9144,12.28,G011278
187930369,159.2786,-25.5717,9.62,G011278
343963409,107.3137,-52.9215,12.45,G011278
260128333,92.1331,-59.5409,11.45,G011278
350743714,88.886,-57.2908,9.79,G011278
382188882,81.3531,-55.02,10.62,G011278

# Sector 010 targets observed (25)
421191260,182.1722,-29.6631,9.75,G011278
102169275,195.2547,-37.978,11.62,G011278;G011242
102305337,196.0349,-37.0047,9.99,G011278;G011242
124095230,196.2742,-31.4368,11.45,G011278
229811538,198.6356,-24.1442,12.21,G011278
83113607,188.3208,-20.8428,11.3,G011278
146530594,159.0194,-45.0979,11.74,G011278
158450472,163.7766,-39.8446,12.02,G011278
162362398,169.4144,-44.0171,10.58,G011278
178723395,166.1452,-43.2403,11.11,G011278
294191640,159.3643,-45.3633,12.03,G011278
272058503,187.3328,-54.1979,8.89,G011278
405177882,181.1453,-47.6143,11.55,G011278
72121778,186.2897,-42.701,11.67,G011278
72229825,186.7532,-43.6753,12.19,G011278
151959065,168.9984,-36.4594,11.93,G011278
152147232,169.9094,-39.4621,11.57,G011278
165493409,180.4451,-36.4469,10.34,G011278
181159386,174.3028,-38.3072,11.14,G011278
23555025,169.0354,-32.6521,11.65,G011278
454013359,175.3004,-37.7917,8.97,G011278
61635991,176.7102,-42.6165,9.75,G011278
260128333,92.1331,-59.5409,11.45,G011278
350743714,88.886,-57.2908,9.79,G011278
382188882,81.3531,-55.02,10.62,G011278

# Sector 011 targets observed (15)
30287190,207.6026,-31.2313,11.16,G011278
365717153,210.9175,-32.5576,11.45,G011278
127955334,218.4376,-43.0111,10.89,G011278
160484494,226.8207,-41.9131,11.22,G011278
242589597,215.778,-43.2041,11.76,G011278
148905216,231.3727,-36.4049,10.98,G011278
75490265,225.2392,-33.4392,11.59,G011278
203387944,215.0078,-20.8591,12.78,G011278
425594181,214.5925,-29.8814,12.24,G011278
272058503,187.3328,-54.1979,8.89,G011278
241532550,206.5569,-51.0378,11.91,G011278
219201178,92.7234,-52.8963,10.78,G011278
260128333,92.1331,-59.5409,11.45,G011278
350743714,88.886,-57.2908,9.79,G011278
382188882,81.3531,-55.02,10.62,G011278

# Sector 012 targets observed (2)
260128333,92.1331,-59.5409,11.45,G011278
350743714,88.886,-57.2908,9.79,G011278

# Sector 013 targets observed (10)
143291764,293.607,-42.3868,11.86,G011278
61135882,286.995,-45.9575,12.69,G011278
61898904,289.8616,-44.6023,12.58,G011278
30816076,287.5229,-35.3227,11.89,G011278
30914235,287.8413,-30.3954,12.51,G011278
409934687,302.8325,-71.6675,8.79,G011278;G011250
360824561,304.3202,-59.3081,11.81,G011278
50380257,32.9809,-72.6787,9.22,G011278
350743714,88.886,-57.2908,9.79,G011278
382188882,81.3531,-55.02,10.62,G011278
