# TESS Program G011154

Title: Eclipsing Binary Stars: Indispensable Astrophysical Laboratories

PI: Prsa, Andrej - Villanova University

Type: N/A

Summary: Eclipsing binary (EB) science has long held renown for delivering accurate measurements of fundamental parameters: masses, radii, luminosities and temperatures. The field witnessed exponential growth in the Kepler era of ultra-high photometric precision, and the impact of TESS will be no less revolutionary. This multi-faceted proposal encapsulates three goals: (1) extract all known EB light curves from Full Frame Images (FFIs); (2) mine FFIs for as-of-yet unknown calibration-quality EBs, where simulations predict a 10-fold increase in the number of known EBs; and (3) acquire 2-min cadence observations for a prioritized list of targets that maximize scientific yield. The proposal discusses hot topics in the EB field and outlines the effort to provide these deliverables to the community.    


# Sector 001 targets observed (230)
204325855,346.9527,-22.0466,10.45,G011154
204327008,347.0992,-19.7039,11.03,G011154
240764987,340.1419,-15.7894,10.21,G011154
399577123,342.4995,-23.2732,11.19,G011154
415969184,342.1486,-20.312,10.84,G011154
69838619,337.8142,-20.5425,11.66,G011154
69889494,338.675,-19.8598,7.71,G011154
69949079,340.0475,-23.228,11.08,G011154
155896956,4.2272,-52.6502,6.22,G011154;G011048;G011250
155912720,4.5666,-50.4834,8.7,G011154
155950028,6.1912,-51.0452,6.24,G011154;G011048;G011250
156016697,9.1614,-49.1331,6.2,G011264;G011164;G011154;G011048;G011250
201225992,358.1965,-52.3608,11.81,G011154
201249189,0.4493,-57.2421,10.54,G011154
201256771,1.8184,-58.4573,11.29,G011154
201291281,2.6968,-57.487,8.34,G011154;G011048
281562429,7.1836,-57.5484,9.26,G011154
281740940,12.0636,-55.3127,8.64,G011154
355601117,357.6686,-57.506,11.17,G011211;G011154
355601553,357.689,-59.5405,9.37,G011154
355635441,357.989,-57.4224,10.35,G011154
355651035,358.599,-57.941,10.64,G011154
100029948,23.4265,-43.8229,11.57,G011154
100106495,25.1436,-44.6148,8.41,G011154
102049394,16.8996,-44.1475,8.53,G011154
102069549,17.3929,-46.2656,7.92,G011130;G011083;G011154;G011250
158536052,19.8798,-48.2945,8.45,G011154
158567333,20.9206,-50.0291,10.69,G011154
158582801,21.8611,-49.4706,10.42,G011154
183596242,18.3674,-38.3507,9.79,G011175;G011083;G011266;G011154;G011180
207085748,23.1384,-49.5284,7.18,G011154;G011250
322051425,13.9103,-50.169,9.56,G011154
340782794,19.1586,-39.7086,9.81,G011154
369667750,18.6708,-48.29,11.19,G011154
41860240,20.5584,-40.4739,8.19,G011154
41861999,20.9803,-41.5002,11.58,G011154
41865879,21.3902,-41.8097,9.64,G011154
41896812,21.4433,-39.9363,10.77,G011154
80429067,10.9915,-45.2317,8.68,G011154
115443990,6.7293,-39.8821,8.61,G011154
116417661,7.8899,-36.2736,9.22,G011154
117157551,8.8935,-39.7472,6.74,G011154;G011250
117642442,9.4661,-39.7877,8.87,G011154
118826280,11.1263,-36.1085,8.95,G011154;G011250
120607016,4.6588,-37.2033,8.39,G011154
120607386,4.6913,-39.6772,8.84,G011154
179985566,13.8626,-37.5246,8.01,G011154;G011250
180551164,15.5478,-38.1517,11.93,G011154
180724703,15.83,-37.7537,10.56,G011154
183532589,359.965,-35.075,8.63,G011154
251855063,8.4427,-32.4871,8.79,G011154
251857120,8.8037,-32.9343,11.45,G011154
402130407,11.641,-33.5161,11.71,G011154
43398254,10.6687,-29.9439,10.54,G011154
66410019,13.3709,-34.0493,8.73,G011154
70761941,0.7888,-34.9385,11.6,G011154
77045825,359.0949,-34.0748,8.22,G011154
120414806,0.1251,-39.6248,10.63,G011154
144277093,353.881,-45.6043,8.29,G011154
160065970,345.7965,-39.2384,11.35,G011154
160085375,359.4802,-41.9287,10.77,G011154
165879965,1.3978,-44.4248,8.83,G011154
175286880,346.7001,-38.7942,8.35,G011154
175404111,349.6774,-39.8999,8.65,G011154
175404281,349.7696,-39.2218,8.47,G011154
175405906,349.8565,-40.2907,11.44,G011154
175410258,350.0655,-37.7319,8.73,G011154
175458611,350.8098,-37.5161,8.89,G011154
224277864,355.3625,-39.5214,8.41,G011154
369585989,0.3932,-45.9295,11.24,G011154
382425148,350.0694,-44.0652,11.44,G011154
382471848,353.2642,-44.6205,9.12,G011154
389728831,350.696,-42.8109,10.9,G011154
389754101,351.4191,-42.9,7.82,G011154;G011250
425864422,352.1221,-44.5869,8.16,G011154
158620243,22.2305,-51.8872,8.69,G011154
158622588,22.5702,-51.8682,9.77,G011154
166681337,35.3505,-50.6968,9.3,G011154
166806759,39.0952,-50.5592,8.81,G011154
201792794,34.4597,-58.0672,10.46,G011154
