# TESS Program G011113

Title: White Dwarf Variability In The Ecliptic South

PI: Hermes, JJ - University Of North Carolina

Type: Small

Summary: We propose observations with 2-min cadence of 815 known and high-probability white dwarfs in Cycle 1 of the TESS mission. Our primary objective is to search these white dwarfs for transits of remnant planetary systems; transits of Earth-sized white dwarfs are likely to be very deep but also very short, just a few minutes, requiring high-speed observations. Our proposed photometry will also enable asteroseismology of dozens of known and high-likelihood pulsating white dwarfs, continuing the space-based revolution into the interiors of stellar remnants. From both asteroseismology and spot modulation of magnetic white dwarfs we will significant expand the number of white dwarfs with measured rotation rates, putting strong constraints on the endpoints of angular momentum in stars.             


# Sector 001 targets observed (109)
33840009,64.9072,-73.0623,14.92,G011113;G011203
287352377,122.3835,-72.9879,14.83,G011113;G011294
300013123,107.2148,-67.1092,15.32,G011113
300159301,108.8191,-70.4182,14.38,G011113;G011294
300970893,118.284,-67.7921,13.3,G011113;G011294
306826966,121.7283,-66.3061,13.71,G011113
307363368,125.356,-67.0522,14.54,G011113;G011294
391923441,106.9794,-74.641,15.2,G011113
150245754,94.1803,-64.9634,14.35,G011113;G011294
279510595,105.58,-58.8366,14.66,G011113;G011294
348841203,98.8744,-59.3335,15.96,G011113

# Sector 003 targets observed (103)
136885105,8.8264,-17.3143,14.89,G011113;G011288
268652078,17.3878,-19.0219,15.57,G011113;G011294;G011203
27986571,10.3558,-22.3527,13.66,G011113
326186437,16.6698,-24.9786,13.47,G011113
336872595,13.7325,-14.4355,14.63,G011113;G011294;G011288
98666654,9.3528,-20.8962,12.88,G011113
164681986,24.6346,-19.9121,15.4,G011113
164789799,27.775,-19.9519,15.68,G011113
257459955,30.237,-15.7692,14.46,G011113
257484757,30.7678,-12.4844,14.54,G011113;G011288
257505425,31.3511,-17.891,15.95,G011113;G011294
28128509,23.9928,-19.4734,15.76,G011113
29854433,24.0594,-11.343,14.3,G011113
29862344,24.3129,-17.458,15.35,G011113;G011294
32535758,20.245,-16.3799,15.53,G011113;G011288
441493327,23.164,-19.3609,15.19,G011113
471013543,22.9134,-20.333,15.7,G011113;G011294
54003343,23.6005,-16.1188,13.45,G011113;G011294;G011203
241392886,24.5008,-4.9977,12.47,G011113
24252344,15.8526,-6.5373,14.22,G011113;G011294
248353420,17.6755,-1.1444,14.59,G011113;G011288
248377439,18.1143,-1.8567,13.61,G011113
248946540,20.4506,-0.1821,15.66,G011113;G011294
248983748,22.5949,-4.8007,15.15,G011113;G011294
306338343,18.4277,-10.7064,15.9,G011113
336891566,17.8496,0.1596,16.68,G011113
369490606,23.6187,2.0725,14.7,G011113;G011294
388814538,18.4448,0.4746,15.89,G011113;G011294;G011288
398570703,15.2598,-4.186,15.67,G011113;G011294
136864697,8.4778,-12.134,14.13,G011113
301052760,3.1349,-5.5596,16.53,G011113;G011294
333541164,11.5767,-3.034,15.42,G011113;G011294
37747334,4.6293,-9.9461,14.72,G011113;G011288;G011294
3888273,10.9408,-10.0077,14.87,G011113;G011294;G011288
3905338,11.7638,-11.872,12.19,G011113
3990629,13.0646,-9.4051,15.54,G011113;G011294;G011288
40047385,6.6369,-11.9141,15.68,G011113;G011288
408016357,13.9593,-11.4565,14.87,G011113
115273655,25.7135,-38.9848,14.29,G011113;G011294;G011288
262548040,21.017,-42.678,14.37,G011113;G_PROPER_MOTION_281_-499
41958232,22.6181,-38.5104,14.78,G011113;G011294
100907176,31.8562,-36.3471,16.03,G011113;G011294;G011288
