# TESS Program G06027

Title: The TESS Legacy Survey Of Accreting Compact Binaries

PI: Scaringi, Simone - Durham University

Type: MINI

Summary: Accretion is responsible for the growth and evolution of most objects in the Universe, yet many unanswered questions remain in accretion disk physics. We propose to observe a sample accreting compact objects (comprising a mix of accreting white dwarfs, neutron stars, and stellar-mass black holes) at 2-minute cadence with TESS, and 50 at 20 second cadence. These observations will provide a long-lasting legacy dataset unravelling the optical variability properties of a variety of accreting compact objects.


# Sector 070 targets observed (2 min: 53, 20 s: 10)
307564591,96.7863,45.5786,17.4,G06168;G06027;20SECONDTARGET
417107176,101.5817,50.7636,15.42,G06027
440563286,91.979,45.2051,15.72,G06027
453331680,101.8568,49.2616,17.08,G06152;G06027;20SECONDTARGET
453332033,101.8721,49.8408,15.78,G06027
53180626,89.497,53.8957,13.73,G06027
704176554,99.5269,45.2491,18.21,G06027
286111484,71.6404,48.9654,16.38,G06027
310346746,82.9052,48.4085,17.75,G06027
354274006,70.4861,50.7099,12.12,G06027
367626478,73.5651,47.0906,17.72,G06027
391262466,70.839,47.3572,15.23,G06027
65820715,74.2791,45.4635,16.82,G06027;20SECONDTARGET
667809280,73.4115,53.6751,18.46,G06027
238902498,73.3203,38.2745,18.82,G06027
3034524,82.142,33.306,16.51,G06057;G06027
3457576,82.7076,35.9124,16.3,G06027
67296459,83.3894,36.9923,13.79,G06057;G06027
700843345,84.5831,41.8565,18.38,G06027
97032980,74.6653,35.0953,16.07,G06152;G06027
128070524,92.6503,41.7462,17.94,G06152;G06027
172503328,99.1357,35.5953,15.84,G06027
240082127,100.1632,31.1819,17.78,G06027
240122720,101.1431,33.749,13.13,G06057;G06101;G06027;20SECONDTARGET
312474753,88.7167,32.8067,18.0,G06027
703560190,96.9098,37.3169,18.16,G06152;G06027
721954365,95.8051,31.891,18.29,G06027
724028977,89.6895,39.2592,18.48,G06027
741843035,101.1751,34.7866,18.02,G06152;G06152;G06027
138042556,89.3499,72.6979,15.96,G06027
138045547,90.0085,77.8587,16.68,G06027
312866273,126.3048,73.1108,12.2,G06027
313242194,96.3177,73.5775,14.68,G06027;20SECONDTARGET
396737942,97.3915,71.0766,12.85,G06027
705195600,95.8477,73.1286,18.02,G06152;G06168;G06027;20SECONDTARGET
705223072,94.0219,74.8726,18.72,G06027
71266846,113.4227,67.5376,15.8,G06057;G06027
743395515,109.8105,65.9622,18.76,G06035;G06027;20SECONDTARGET
743398431,110.4353,66.6438,19.39,G06168;G06027;20SECONDTARGET
743629322,112.0754,75.2709,14.94,G06027
99473228,89.5743,67.8961,16.0,G06027;20SECONDTARGET
99474388,89.4165,69.9749,17.2,G06152;G06027
99653557,108.5199,70.0715,11.97,G06197;G06027;20SECONDTARGET
102782268,63.1525,69.4853,17.79,G06027
103439731,65.8873,74.8806,17.2,G06027;G06168;20SECONDTARGET
140934621,78.4024,77.4785,15.0,G06027
280932149,67.6791,69.7412,17.69,G06027
84904299,64.8484,65.5011,15.87,G06027
286641602,76.2528,60.9152,17.21,G06152;G06168;G06027;20SECONDTARGET
287006537,83.1414,62.7979,15.27,G06027
82884751,79.7664,63.0609,14.9,G06197;G06197;G06027;20SECONDTARGET
87305418,78.871,56.0923,17.87,G06027
14290591,104.9987,57.0938,14.67,G06027
379202735,93.8725,60.8549,17.77,G06152;G06027
416441712,88.7012,60.7337,17.97,G06152;G06027
444899832,99.2294,55.9611,17.79,G06027
55502089,99.0955,65.9041,18.59,G06027
705002741,93.9272,64.4465,18.38,G06027
70927365,90.5775,63.1292,17.76,G06168;G06027;20SECONDTARGET
88487033,106.0419,62.0578,17.74,G06027
279923419,38.9932,80.4957,13.84,G06027
289450662,49.5672,76.1382,14.23,G06027
395587587,28.3376,74.7728,16.23,G06027;20SECONDTARGET
609742113,9.6566,79.3603,16.32,G06027
141764366,121.4715,78.7331,16.17,G06027
150317053,117.4066,88.7414,14.17,G06027
802764490,131.0169,79.736,18.41,G06027
1271360919,251.9784,77.0367,18.94,G06027
155655974,205.7891,78.3869,14.55,G06027
160425283,235.9022,75.2615,14.71,G06057;G06027
328901708,219.6182,82.4944,15.04,G06027
2051471851,343.6942,75.9188,18.46,G06027
237232687,297.277,77.7397,14.45,G06027
428987428,345.5581,77.5152,16.37,G06027
470122107,329.9357,82.423,16.99,G06152;G06027
1718257254,280.7451,73.7076,17.6,G06027
1884438075,291.3102,68.8562,18.36,G06027
229791903,284.3349,71.5219,15.64,G06027;G06168;20SECONDTARGET
233738348,277.9357,65.1917,15.42,G06027;G06175;G06168;20SECONDTARGET
258799357,286.7761,69.1458,17.73,G06035;G06027;20SECONDTARGET
387328927,310.1122,69.9959,17.94,G06027
1271276791,258.924,68.9452,18.1,G06027;G06168;20SECONDTARGET
219107776,271.06,67.9035,13.93,G06057;G06101;G06027;20SECONDTARGET
219848814,255.9285,66.128,17.03,G06152;G06027
272781244,237.8433,71.7532,16.61,G06027
287085812,253.179,70.5041,16.55,G06027
1400855795,266.4058,60.3234,18.84,G06168;G06027;20SECONDTARGET
198407749,258.7366,58.8579,13.57,G06027;20SECONDTARGET
219756421,261.795,61.7578,14.13,G06175;G06027;20SECONDTARGET
219762611,262.5348,62.7985,16.14,G06027
232607126,258.1987,60.7675,18.06,G06027
287152647,253.9124,60.1999,16.09,G06027
1717416294,285.9257,53.7961,18.18,G06152;G06027
1717869287,283.2901,59.752,18.29,G06027;G06168;20SECONDTARGET
1717936601,281.4263,62.3955,17.61,G06027
1883998117,294.6931,58.6983,18.26,G06027
1884076062,291.1593,59.6962,18.7,G06027;G06168;20SECONDTARGET
1884110538,290.8677,61.4036,18.17,G06027
229409541,292.953,61.018,16.1,G06027
232649837,281.745,55.6414,17.12,G06027
233124538,273.6243,61.3928,15.14,G06027
357050556,274.8879,58.1071,18.5,G06027
399863480,286.8865,52.9746,16.09,G06027
