# TESS Program G06194

Title: A Survey Of Oscillations And Granulation In Subgiant Stars

PI: Chontos, Ashley - Princeton University

Type: SMALL

Summary: Brightness variations observed in high-precision light curves encode powerful information about fundamental properties and convection in subgiant stars through oscillations and granulation. However, the current sample of subgiants with measured oscillations and granulation is predominantly focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to perform a survey of oscillations and granulation in subgiant stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as the mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 070 targets observed (2 min: 392, 20 s: 4)
113919695,54.1021,20.0673,7.0,G06194
113954577,54.5208,20.2335,8.72,G06194
114086251,55.6715,21.2817,7.31,G06194
26055004,52.8063,19.7838,8.2,G06194
26055340,52.7346,18.7989,7.6,G06194
28958526,50.1652,28.8261,7.89,G06194
346676521,55.1015,29.9562,8.35,G06194
34712570,45.7167,25.0726,9.26,G06194
34783303,46.4504,27.686,8.0,G06194
34786681,46.5219,25.4313,8.27,G06194
34885707,47.2852,24.7683,9.41,G06194
35027553,48.7073,24.9281,8.13,G06194
35118182,49.2671,28.4839,7.95,G06194
353929616,55.0706,28.9226,10.09,G06194
385507225,56.1888,27.9201,6.24,G06194
405463747,52.3705,26.4108,9.63,G06194
405480837,55.9463,29.5173,9.16,G06194
427577999,54.8982,29.4518,8.27,G06194
440681396,56.8212,23.7266,6.49,G06194
440691067,57.2376,23.8568,6.1,G06194
46536981,53.5896,28.0842,8.71,G06194
46676152,54.2566,29.448,9.14,G06194
67789175,56.2211,19.8305,7.88,G06194
90649898,53.1124,30.1951,10.25,G06194
242984304,59.6467,15.0858,7.74,G06194
311127297,54.8695,6.7366,8.5,G06194
311127912,54.8837,9.2939,8.63,G06194
345413546,57.6932,8.4475,7.58,G06194
345455466,58.3054,7.7699,7.01,G06194
381372109,48.8281,14.3029,7.47,G06194
381372663,48.7769,16.2549,7.9,G06194
381455011,49.9078,12.0037,9.14,G06194
388994809,57.8628,12.0717,8.57,G06194
399931363,51.5057,8.2699,8.96,G06194
399965184,52.0542,7.3017,7.46,G06194
416615125,50.3977,8.9541,8.58,G06194
416676636,52.7657,11.6306,10.57,G06194
416720026,53.7643,11.0458,7.48,G06194
416739635,53.8315,11.3967,7.77,G06194
434128916,55.5068,14.9222,8.78,G06194
434136019,56.0004,14.6203,8.03,G06194
435293807,53.4124,17.3291,8.01,G06194
118523995,68.9166,19.9685,6.74,G06194
16005878,63.2043,19.5386,7.33,G06194
16040229,63.5874,19.5793,7.69,G06120;G06194
17100719,64.2551,19.6753,6.75,G06194
245797635,67.4197,12.1755,7.78,G06194
245872346,68.9698,13.6004,9.49,G06194
283677584,62.2067,10.4636,8.23,G06194;G06057
365459719,64.5476,9.1554,9.07,G06194
372896485,65.7124,9.771,7.68,G06194
372898369,65.7451,9.4036,7.31,G06194
373028242,66.9621,10.0208,7.81,G06194
373032040,67.7018,10.2709,10.02,G06194
373104570,68.1222,9.8955,9.38,G06194
399619275,72.3568,11.4939,8.85,G06194
436564830,70.704,12.2083,6.77,G06194
436570953,70.8679,13.0354,8.26,G06194
436572106,71.0155,12.9916,7.16,G06194
436588012,71.4638,15.9303,8.67,G06120;G06194
436591693,71.5877,13.8386,9.25,G06194
436645102,72.3981,13.454,10.04,G06194
468904872,62.5715,11.4862,8.46,G06194
125915560,70.8074,24.0888,5.65,G06194
149858588,58.7494,28.1877,7.43,G06194
150053918,69.7793,28.8414,8.93,G06194
150131404,70.517,24.0107,6.74,G06194
15733892,61.2356,20.8561,8.13,G06194
15855062,61.9291,21.2623,8.57,G06194
171003651,67.5153,32.5117,7.24,G06194
171197784,68.1887,32.7248,8.26,G06120;G06194
17148106,64.4636,22.354,7.62,G06194
23112799,60.9053,24.946,8.1,G06194
239678629,65.0368,32.7037,9.57,G06194
268079980,67.0745,27.7807,7.27,G06194
268221148,67.5846,28.1322,5.87,G06194
268221892,67.5156,29.041,8.16,G06194;G06057
349667325,67.2168,30.3613,5.89,G06194;G06057
408561011,69.6866,32.6652,8.39,G06194
408599378,69.8105,31.7413,7.49,G06194
408645694,70.028,33.1338,8.02,G06194
408649750,70.0949,29.972,6.43,G06194
467652288,60.5278,30.8687,8.13,G06194
56363274,62.5088,24.0926,8.36,G06194
56455975,62.9095,29.8294,7.49,G06194
56512881,62.9541,25.984,8.43,G06194
58467533,65.4953,28.3016,8.24,G06120;G06194
85848400,63.9821,31.6928,6.83,G06194
94672007,59.8314,30.0322,8.55,G06194

# Sector 071 targets observed (2 min: 408, 20 s: 4)
243189841,45.2223,15.0307,6.81,G06194
257916658,43.5632,13.3302,8.01,G06194
258026108,44.9599,11.9776,8.83,G06194
333625486,48.6338,12.6567,8.68,G06194
345393765,49.6924,7.3932,8.62,G06194
347022031,44.0729,5.9986,8.38,G06194
347085338,49.0144,11.6284,7.45,G06194
347571943,45.242,5.2873,7.33,G06194
365232027,45.3556,7.1827,9.42,G06194
365331279,46.3228,10.3084,8.82,G06194
365337717,46.8309,8.3955,9.01,G06194
365354762,47.1044,10.7957,6.86,G06194
377062124,47.5694,10.1504,10.68,G06194
377062862,47.4857,6.7044,7.52,G06194
381347800,46.8229,16.0776,8.95,G06194
381372109,48.8281,14.3029,7.47,G06194
381372663,48.7769,16.2549,7.9,G06194
381455011,49.9078,12.0037,9.14,G06194
387465234,42.6257,11.8694,7.72,G06194
387495323,42.8036,8.289,8.1,G06194
387541497,44.0578,8.381,5.53,G06194
399931363,51.5057,8.2699,8.96,G06194
399965184,52.0542,7.3017,7.46,G06194
416615125,50.3977,8.9541,8.58,G06194
416676636,52.7657,11.6306,10.57,G06194
416720026,53.7643,11.0458,7.48,G06194
52176601,41.2598,14.2373,7.38,G06194
22840841,38.8845,26.4393,8.64,G06194
238343101,39.4555,23.1282,7.9,G06194
